CoreID	BlockID	BlockID2	id	Sample
6355-JC-S1-A	r2020-0078196a	r2020-0078196	skin234	Sun1-pre(#!)
6355-JC-S1-B	r21-0016171a	 dr21-16171?	skin244	Sun3-pre
6355-JC-S1-C	r22-0029024A	R22-29024	skin296	Sun-1 post
6355-JC-S1-D	r21-0094796A	R21-94796	skin269	Sun3-post
6355-JC-S2-A	R2020-0088633A	r2020-88633	skin235	Sun2-pre
6355-JC-S2-B	R21-106256 A	R21-106256 	skin279	Sun5-pre
6355-JC-S2-C	R2021-0123937A	R21-123937	skin285	Sun2-post
6355-JC-S2-D	R22-0022832A	R22-22832	skin292	Sun5-post
6355-JC-S3-A	r21-0133487A	R21-133487	skin289	SUn6-pre
6355-JC-S3-B	R22-009053A	R22-9053	skin290	Sun7-pre
6355-JC-S3-C	r22-0061201A	R22-61201?	skin305	sun6-post
6355-JC-S3-D	r22-0054540A	R22-54540	skin304	Sun-7 post
		R21-105783 	skin277	Sun1-pre(#2)
		R21-49871a	skin253A	Sun4-pre
		R21-49871b	skin253B	Sun4-pre (B)
		R2021-0078093A	skin264	Sun4 -post
