gene	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	pct.diff
SARAF	0	0.7771702063743635	1.152163170180021	0.934	0.698	0	0	0.2360000000000001
RPS16	0	0.7682045787477463	0.9238331541751892	0.99	0.922	0	0	0.06799999999999995
RPL13	0	0.7597219547881457	0.811035324092507	0.994	0.938	0	0	0.05600000000000005
RPS2	0	0.756257861003658	0.8124427140389159	0.993	0.919	0	0	0.07399999999999995
RPSA	0	0.7557705000352798	0.9306176832290065	0.961	0.784	0	0	0.17699999999999994
RPL18A	0	0.755005498731855	0.8136518481099833	0.985	0.9	0	0	0.08499999999999996
RPL32	0	0.7478693305848667	0.7779770234047101	0.987	0.922	0	0	0.06499999999999995
FYB1	0	0.7458581648889953	1.3449177304983468	0.708	0.254	0	0	0.45399999999999996
RPL34	0	0.7447780109690474	0.8202532392750594	0.986	0.921	0	0	0.06499999999999995
LEPROTL1	0	0.743339881772486	1.0762248431810952	0.817	0.402	0	0	0.4149999999999999
IL32	0	0.74307172293767	1.1920926149428919	0.897	0.55	0	0	0.347
YWHAB	0	0.7430020189434656	0.9513108550264953	0.919	0.753	0	0	0.16600000000000004
RPS18	0	0.7401093815880754	0.8138289686510705	0.991	0.923	0	0	0.06799999999999995
PTPRC	0	0.7376203511098379	0.8472443845009652	0.955	0.627	0	0	0.32799999999999996
SYNE2	0	0.7355034434109291	1.3261000255807553	0.708	0.267	0	0	0.44099999999999995
RPL19	0	0.7350522939234324	0.7176907644583128	0.986	0.92	0	0	0.06599999999999995
TRAC	0	0.7346305390767239	1.1767944178389387	0.743	0.293	0	0	0.45
RPL30	0	0.7335195207389918	0.7298024700205481	0.985	0.923	0	0	0.061999999999999944
RPL28	0	0.7324013736831197	0.680810991763158	0.99	0.93	0	0	0.05999999999999994
RPLP0	0	0.7311324086856918	0.7922832362043324	0.966	0.844	0	0	0.122
RPLP1	0	0.730743877033055	0.6589209857648566	0.995	0.95	0	0	0.04500000000000004
FXYD5	0	0.7295459355922616	0.9698447299340176	0.816	0.466	0	0	0.3499999999999999
RPL11	0	0.7283583467882846	0.672466149233756	0.99	0.925	0	0	0.06499999999999995
RPS29	0	0.7254802655599886	0.85221158125474	0.976	0.892	0	0	0.08399999999999996
RPL3	0	0.7207168560029916	0.7493984699557705	0.981	0.885	0	0	0.09599999999999997
IL7R	0	0.7196202043158005	1.2204701415276555	0.863	0.605	0	0	0.258
RPS6	0	0.7192009612172756	0.7070800643444928	0.983	0.903	0	0	0.07999999999999996
RPL13A	0	0.7190462341004928	0.6995969978926144	0.986	0.906	0	0	0.07999999999999996
SPOCK2	0	0.7188979180166961	1.0805777300187684	0.655	0.225	0	0	0.43000000000000005
RPL21	0	0.7182297606911708	0.6854880200144748	0.984	0.92	0	0	0.06399999999999995
RPS27	0	0.7147312370808445	0.7094108711151348	0.99	0.931	0	0	0.05899999999999994
