merged_label	n	total	f	pct
0 Tmm:Tcm?	13572	165701	0.08190656664715361	8.19
1 Tcm	12684	165701	0.07654751630949723	7.65
2 Treg1	11260	165701	0.06795372387613835	6.8
Trm_merge	27068	165701	0.16335447583297627	16.34
4 Treg2	8073	165701	0.04872028533322068	4.87
5 Tet?	6942	165701	0.04189473811262455	4.19
6 CTL:NK?	6392	165701	0.03857550648457161	3.86
7 CTLact:NK?	6132	165701	0.03700641516949204	3.7
8 CTLex:NK?	5974	165701	0.03605289044725137	3.61
9 Treg-c	5942	165701	0.03585977151616466	3.59
10 moDC1	5329	165701	0.03216033699253475	3.22
11 CTLac:NK?	4877	165701	0.029432532090934875	2.94
12 Tcm	4867	165701	0.029372182424970278	2.94
14 Mono?	4464	165701	0.02694009088659694	2.69
15 LC:DC?	4429	165701	0.026728867055720848	2.67
16 Tet:Tmm?	4179	165701	0.025220125406605873	2.52
18 moDC2	4090	165701	0.024683013379520943	2.47
19 Mac1	3312	165701	0.01998780936747515	2
21 Mono2?	2980	165701	0.01798420045745047	1.8
23 ILC/NK1	2798	165701	0.01688583653689477	1.69
24 CTLex	2608	165701	0.01573919288356739	1.57
25 Treg3	2340	165701	0.01412182183571614	1.41
26 DCmono:mDC?	2278	165701	0.013747653906735626	1.37
27 ILC/NK2	2193	165701	0.013234681746036536	1.32
28 ILC/NK3	1987	165701	0.011991478627165798	1.2
29 Tcm:Tmm?	1591	165701	0.009601631854967683	0.96
30 Mono	1217	165701	0.007344554347891685	0.73
32 DC1	956	165701	0.005769428066215654	0.58
33 Tcm?	869	165701	0.005244385972323643	0.52
34 Plasma	769	165701	0.004640889312677654	0.46
35 Mac2	713	165701	0.004302931183275901	0.43
36 LC	692	165701	0.004176196884750243	0.42
37 Tc:DC?	597	165701	0.0036028750580865535	0.36
38 B:Plasma?	568	165701	0.0034278610267892166	0.34
39 CTLex:NK2?	514	165701	0.003101972830580383	0.31
41 Tcm	321	165701	0.0019372242774636243	0.19
42 moDC3	124	165701	7.483358579610262e-4	0.07
