merged_label	skin150	skin154	skin155	skin165	skin169	skin170	skin173	skin194	skin195	skin198	skin199	skin204	skin207	skin211	skin222	skin230	skin231	skin232	skin233	skin235	skin236	skin239	skin242	skin244	skin248	skin252	skin253	skin257	skin264	skin266	skin269	skin276	skin277	skin279	skin285	skin286	skin289	skin290	skin292	skin296	skin304	skin305
0 Tmm:Tcm?	218	599	401	284	292	419	118	150	298	503	588	631	690	269	435	416	218	325	53	123	256	460	314	470	432	281	106	834	63	462	26	246	270	369	49	331	31	508	504	175	103	252
1 Tcm	60	43	475	122	189	230	27	63	327	189	393	780	787	535	502	479	126	133	53	33	432	841	266	835	445	206	114	351	49	296	13	167	326	533	41	204	5	925	740	70	77	202
2 Treg1	135	188	367	312	81	337	36	144	124	488	468	314	177	314	177	380	296	310	24	80	497	136	190	477	51	498	184	686	37	605	33	319	432	580	17	274	13	559	503	164	47	206
Trm_merge	295	855	196	1355	254	1104	1626	1400	122	671	602	94	65	151	430	613	627	812	61	356	1159	116	203	414	37	1972	783	1216	123	789	133	790	542	598	59	487	3302	559	630	656	144	667
4 Treg2	29	98	75	190	70	371	24	131	62	283	242	139	174	192	157	384	201	272	17	98	553	152	95	293	79	414	143	382	36	518	17	274	235	349	34	139	38	358	409	184	34	128
5 Tet?	142	756	153	49	205	258	24	65	244	129	142	422	318	367	191	294	51	65	8	94	154	280	217	531	435	65	16	86	8	156	4	116	51	235	14	137	9	110	240	68	12	21
6 CTL:NK?	168	66	185	120	105	105	68	277	50	139	188	165	166	372	366	292	44	84	58	72	166	218	52	223	80	179	60	152	20	187	18	82	327	194	57	83	248	427	301	85	64	79
7 CTLact:NK?	617	52	239	28	206	476	10	130	224	64	217	237	564	111	590	107	31	55	20	44	58	386	109	214	140	83	71	136	14	75	19	21	119	95	39	133	8	124	80	57	27	102
8 CTLex:NK?	214	90	140	256	97	86	37	286	111	182	135	77	174	211	231	173	28	117	97	61	160	98	46	318	73	178	71	277	30	117	30	79	303	295	30	124	27	288	375	128	52	72
9 Treg-c	55	144	118	165	15	260	23	194	19	177	322	28	20	211	155	343	141	146	4	36	420	22	42	228	2	284	145	226	12	284	19	222	216	310	3	87	31	255	384	113	11	50
10 moDC1	19	105	171	81	120	216	18	49	160	60	103	182	171	47	389	438	148	130	5	84	163	193	74	196	87	439	123	312	69	320	62	181	5	0	0	97	272	27	6	1	5	1
11 CTLac:NK?	1216	45	76	102	163	251	14	160	76	45	170	42	111	83	185	71	20	83	2	17	47	269	41	121	79	90	53	35	7	137	35	19	70	62	29	479	59	84	52	77	31	69
