response	cluster	gene	group1	group2	n_group1	n_group2	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj	pct.diff	n
responders	Trm_merge	mm10---Gm42418	responders_Pre	responders_Post	2112	459	7.05804017076039e-139	0.8600852272727273	4.497441023781929	0.72	0	2.452174896527282e-134	0.72	1
responders	Trm_merge	SMAP2	responders_Pre	responders_Post	2112	459	2.61660727315335e-69	0.7600478848946987	1.3879074411235803	0.817	0.553	9.090878649116685e-65	0.2639999999999999	1
responders	Trm_merge	TSC22D3	responders_Pre	responders_Post	2112	459	1.102723154691621e-53	0.7286060152175349	1.3167321503532117	0.847	0.651	3.8311910563450985e-49	0.19599999999999995	1
responders	Trm_merge	SRGN	responders_Pre	responders_Post	2112	459	1.1155110407314966e-47	0.7156898849607183	0.8228035779170355	0.991	0.972	3.875620008813439e-43	0.01900000000000001	1
responders	Trm_merge	GNLY	responders_Pre	responders_Post	2112	459	3.1727760034510827e-47	0.6882881098567373	3.4959881180569345	0.452	0.089	1.1023175668790096e-42	0.363	1
responders	Trm_merge	NPM1	responders_Pre	responders_Post	2112	459	4.269130219912535e-43	0.7046346842609098	0.6122940171287219	0.958	0.946	1.483223912304212e-38	0.01200000000000001	1
responders	Trm_merge	FKBP5	responders_Pre	responders_Post	2112	459	3.594142492510619e-40	0.6942329751766027	1.0852815338924482	0.732	0.484	1.2487129261729644e-35	0.248	1
responders	Trm_merge	PDE3B	responders_Pre	responders_Post	2112	459	3.977075218493769e-40	0.6885346520763187	0.9214915809325888	0.617	0.292	1.38175524316129e-35	0.325	1
responders	Trm_merge	TXNIP	responders_Pre	responders_Post	2112	459	4.90243554632257e-39	0.6930368843665412	1.625529153140786	0.785	0.66	1.7032531818588502e-34	0.125	1
responders	Trm_merge	KIAA0319L	responders_Pre	responders_Post	2112	459	6.086739593540984e-37	0.6698067274047667	1.196691724239444	0.479	0.17	2.1147159369839438e-32	0.30899999999999994	1
responders	Trm_merge	HPGD	responders_Pre	responders_Post	2112	459	9.486098270953499e-37	0.6645220588235294	1.7908460634155194	0.434	0.142	3.295755122277375e-32	0.29200000000000004	1
responders	Trm_merge	NAP1L4	responders_Pre	responders_Post	2112	459	7.971306721586329e-35	0.6828512865583944	0.6942114798830077	0.886	0.804	2.7694710942807386e-30	0.08199999999999996	1
responders	Trm_merge	NEAT1	responders_Pre	responders_Post	2112	459	9.09876358373243e-33	0.6772679821086683	0.7219570077469397	0.974	0.926	3.161183431896158e-28	0.04799999999999993	1
responders	Trm_merge	GZMB	responders_Pre	responders_Post	2112	459	2.4502997672715e-30	0.6419247623291741	1.4017194443784395	0.375	0.107	8.513076481431372e-26	0.268	1
responders	Trm_merge	SATB1	responders_Pre	responders_Post	2112	459	7.136459013427354e-28	0.6460303607975176	0.7432297329477615	0.469	0.196	2.4794199550350655e-23	0.27299999999999996	1
responders	Trm_merge	AHI1	responders_Pre	responders_Post	2112	459	2.099593549751091e-25	0.6514042590942101	0.9298506697654148	0.68	0.488	7.294617869900216e-21	0.1920000000000001	1
responders	Trm_merge	GYPC	responders_Pre	responders_Post	2112	459	2.303805851214453e-25	0.6523878490790256	0.8376336653852998	0.716	0.562	8.004112668874374e-21	0.15399999999999991	1
