CellType	gene_name	log2FoldChange_il23	log2FoldChange_il17	padj_il23	padj_il17	significant_il23	significant_il17	radar_gene	pv50_gene
Teff	LINC00115	0.17	-0.263	0.916	0.897	FALSE	FALSE	FALSE	FALSE
Teff	FAM41C	1.165	-3.101	0.466	0.207	FALSE	FALSE	FALSE	FALSE
Teff	NOC2L	-0.472	0.829	0.471	0.55	FALSE	FALSE	FALSE	FALSE
Teff	KLHL17	-0.15	0.309	0.961	0.883	FALSE	FALSE	FALSE	FALSE
Teff	PLEKHN1	0.086	-1.907	0.98	0.359	FALSE	FALSE	FALSE	FALSE
Teff	HES4	0.904	1.558	0.719	0.474	FALSE	FALSE	FALSE	FALSE
Teff	ISG15	0.721	0.966	0.314	0.465	FALSE	FALSE	FALSE	FALSE
Teff	AGRN	0.464	-4.527	0.744	0.035	FALSE	TRUE	FALSE	FALSE
Teff	C1orf159	-0.263	1.055	0.888	0.478	FALSE	FALSE	FALSE	FALSE
Teff	TNFRSF18	-0.606	1.95	0.413	0.24	FALSE	FALSE	FALSE	FALSE
Teff	TNFRSF4	-0.925	0.98	0.173	0.549	FALSE	FALSE	FALSE	FALSE
Teff	SDF4	-0.087	2.279	0.905	0.158	FALSE	FALSE	FALSE	FALSE
Teff	B3GALT6	-0.229	1.119	0.79	0.508	FALSE	FALSE	FALSE	FALSE
Teff	UBE2J2	-0.061	0.409	0.936	0.805	FALSE	FALSE	FALSE	FALSE
Teff	ACAP3	-0.404	-1.408	0.707	0.365	FALSE	FALSE	FALSE	FALSE
Teff	PUSL1	0.208	1.651	0.811	0.322	FALSE	FALSE	FALSE	FALSE
Teff	CPTP	0.027	2.065	0.992	0.252	FALSE	FALSE	FALSE	FALSE
Teff	DVL1	0.341	-1.784	0.734	0.307	FALSE	FALSE	FALSE	FALSE
Teff	AURKAIP1	0.048	1.342	0.959	0.353	FALSE	FALSE	FALSE	FALSE
Teff	CCNL2	-0.306	0.892	0.601	0.523	FALSE	FALSE	FALSE	FALSE
Teff	MRPL20	0.272	0.881	0.597	0.382	FALSE	FALSE	FALSE	FALSE
Teff	ATAD3B	0.141	-0.429	0.955	0.84	FALSE	FALSE	FALSE	FALSE
Teff	ATAD3A	-0.22	-0.537	0.864	0.791	FALSE	FALSE	FALSE	FALSE
Teff	SSU72	0.016	0.176	0.991	0.895	FALSE	FALSE	FALSE	FALSE
Teff	AL645728.1	0.083	-6.993	0.986	0.031	FALSE	TRUE	FALSE	FALSE
Teff	FNDC10	-0.315	1.523	0.879	0.505	FALSE	FALSE	FALSE	FALSE
Teff	MIB2	-0.109	0.253	0.912	0.886	FALSE	FALSE	FALSE	FALSE
Teff	CDK11B	0.195	-0.162	0.816	0.902	FALSE	FALSE	FALSE	FALSE
Teff	SLC35E2B	0.128	-0.916	0.933	0.425	FALSE	FALSE	FALSE	FALSE
Teff	CDK11A	0.049	0.753	0.975	0.605	FALSE	FALSE	FALSE	FALSE
Teff	NADK	0.164	-0.338	0.899	0.852	FALSE	FALSE	FALSE	FALSE
Teff	GNB1	0.085	0.842	0.87	0.368	FALSE	FALSE	FALSE	FALSE
Teff	PRKCZ	0.137	0.585	0.936	0.73	FALSE	FALSE	FALSE	FALSE
Teff	FAAP20	0.022	0.595	0.992	0.717	FALSE	FALSE	FALSE	FALSE
Teff	SKI	0.203	-1.324	0.842	0.426	FALSE	FALSE	FALSE	FALSE
Teff	RER1	0.102	0.865	0.906	0.534	FALSE	FALSE	FALSE	FALSE
Teff	PEX10	-0.075	-0.624	0.985	0.782	FALSE	FALSE	FALSE	FALSE
Teff	PANK4	0.337	0.99	0.85	0.563	FALSE	FALSE	FALSE	FALSE
Teff	TNFRSF14	-0.375	0.81	0.439	0.619	FALSE	FALSE	FALSE	FALSE
Teff	FAM213B	-0.11	0.691	0.95	0.725	FALSE	FALSE	FALSE	FALSE
Teff	MEGF6	0.181	-1.133	0.964	0.523	FALSE	FALSE	FALSE	FALSE
Teff	TPRG1L	0.285	1.125	0.472	0.397	FALSE	FALSE	FALSE	FALSE
Teff	WRAP73	-0.109	0.857	0.912	0.592	FALSE	FALSE	FALSE	FALSE
Teff	SMIM1	0.339	-2.903	0.887	0.152	FALSE	FALSE	FALSE	FALSE
Teff	LRRC47	0.243	0.732	0.74	0.66	FALSE	FALSE	FALSE	FALSE
Teff	CEP104	-0.172	0.918	0.827	0.377	FALSE	FALSE	FALSE	FALSE
Teff	DFFB	0.207	-1.159	0.903	0.473	FALSE	FALSE	FALSE	FALSE
Teff	C1orf174	-0.28	1.459	0.643	0.278	FALSE	FALSE	FALSE	FALSE
Teff	NPHP4	-0.796	-1.89	0.589	0.289	FALSE	FALSE	FALSE	FALSE
Teff	KCNAB2	-0.272	0.372	0.552	0.788	FALSE	FALSE	FALSE	FALSE
Teff	RPL22	0.226	0.145	0.784	0.902	FALSE	FALSE	FALSE	FALSE
Teff	ICMT	-0.073	0.154	0.964	0.923	FALSE	FALSE	FALSE	FALSE
Teff	GPR153	0.425	-1.181	0.887	0.566	FALSE	FALSE	FALSE	FALSE
Teff	ACOT7	0.208	-0.453	0.928	0.799	FALSE	FALSE	FALSE	FALSE
Teff	ESPN	0.064	-2.815	0.988	0.116	FALSE	FALSE	FALSE	FALSE
Teff	TNFRSF25	-0.195	0.537	0.887	0.764	FALSE	FALSE	FALSE	FALSE
Teff	NOL9	0.004	-0.908	0.999	0.536	FALSE	FALSE	FALSE	FALSE
Teff	ZBTB48	-0.167	0.919	0.947	0.515	FALSE	FALSE	FALSE	FALSE
Teff	KLHL21	0.092	1.011	0.937	0.503	FALSE	FALSE	FALSE	FALSE
Teff	PHF13	-0.085	-1.055	0.955	0.443	FALSE	FALSE	FALSE	FALSE
Teff	THAP3	-0.09	1.37	0.932	0.312	FALSE	FALSE	FALSE	FALSE
Teff	DNAJC11	-0.159	-0.391	0.929	0.822	FALSE	FALSE	FALSE	FALSE
Teff	CAMTA1	0.232	-0.41	0.737	0.656	FALSE	FALSE	FALSE	FALSE
Teff	VAMP3	0.076	-0.356	0.94	0.798	FALSE	FALSE	FALSE	FALSE
Teff	PER3	0.302	-2.427	0.933	0.141	FALSE	FALSE	FALSE	FALSE
Teff	UTS2	-0.698	-0.938	0.925	0.672	FALSE	FALSE	FALSE	FALSE
Teff	TNFRSF9	-2.496	-0.793	0.062	0.686	FALSE	FALSE	FALSE	FALSE
Teff	PARK7	0.049	1.172	0.964	0.232	FALSE	FALSE	FALSE	FALSE
Teff	ERRFI1	0.65	0.432	0.821	0.844	FALSE	FALSE	FALSE	FALSE
Teff	RERE	0.383	-0.764	0.348	0.568	FALSE	FALSE	FALSE	FALSE
Teff	ENO1	-0.078	1.794	0.936	0.127	FALSE	FALSE	FALSE	FALSE
Teff	GPR157	0.035	-2.085	0.994	0.269	FALSE	FALSE	FALSE	FALSE
Teff	H6PD	-0.431	-0.53	0.74	0.75	FALSE	FALSE	FALSE	FALSE
Teff	SPSB1	0.162	0.375	0.93	0.825	FALSE	FALSE	FALSE	FALSE
Teff	SLC25A33	0.124	-0.634	0.936	0.7	FALSE	FALSE	FALSE	FALSE
Teff	TMEM201	-0.649	-0.933	0.744	0.673	FALSE	FALSE	FALSE	FALSE
Teff	PIK3CD	0.207	0.671	0.81	0.582	FALSE	FALSE	FALSE	FALSE
Teff	CLSTN1	-0.08	-0.462	0.937	0.75	FALSE	FALSE	FALSE	FALSE
Teff	CTNNBIP1	-0.308	-0.075	0.782	0.969	FALSE	FALSE	FALSE	FALSE
Teff	LZIC	0.286	0.411	0.503	0.694	FALSE	FALSE	FALSE	FALSE
Teff	NMNAT1	-0.434	-1.71	0.725	0.278	FALSE	FALSE	FALSE	FALSE
Teff	UBE4B	-0.241	-0.927	0.781	0.371	FALSE	FALSE	FALSE	FALSE
Teff	KIF1B	-0.023	-1.202	0.991	0.327	FALSE	FALSE	FALSE	FALSE
Teff	PGD	0.288	1.072	0.737	0.402	FALSE	FALSE	FALSE	FALSE
