cluster	gene	avg_log2FC	p_val_adj	pct.1	pct.2	pct.diff	n_responders	n_nonresponders	p_val	P1	P2	P3	P4	P5	P6	P7	P8	P9
B	SMAP2	1.6491663994351338	2.0524193926817623e-11	0.816	0.44	0.37599999999999995	5	1	6.119683322445472e-16	1.9930448785071893	1.734770728896849	0.6545549209779813	1.0986605045193922	NA	1.060636007800619	NA	NA	0.2076413526231959
B	TSC22D3	1.307725606830353	0.00883951876115536	0.613	0.374	0.239	5	1	2.6356725985912596e-7	2.5886294553290794	1.2261370413716612	0.7276022868498606	0.868725671236716	NA	0.6244970123938325	NA	0.2727429876234724	NA
B	ZFP36L2	1.0472101436476484	0.01762981742744331	0.724	0.495	0.229	4	0	5.256669278860788e-7	1.8783362258171776	0.9927132099594962	NA	0.6940963491033258	0.8469708392351714	NA	NA	NA	NA
B	BTG1	0.9878188624045784	3.393427812760748e-6	0.969	0.78	0.18899999999999997	4	0	1.0118157948478584e-10	0.6574341310365721	0.6283611250082402	NA	NA	0.4326449065339979	0.27979468832113064	NA	NA	NA
B	RACK1	0.5107256296528959	0.00271525502075679	1	0.912	0.08799999999999997	4	1	8.0960552828338e-8	0.504763044335268	0.539648628229279	NA	0.4230399509866984	0.40736156428576153	NA	0.26382171412928557	NA	NA
B	RPL15	0.6481036138694245	1.2509336170394008e-6	0.994	0.945	0.04900000000000004	4	2	3.729899269602841e-11	0.32866869850184877	0.4971480167919351	NA	0.3812680129543127	0.3905757568308754	NA	0.5066674689168282	0.2933658095280123	NA
B	RPL18	0.4926974809908815	2.8008869054079545e-4	1	0.967	0.03300000000000003	4	2	8.351383223233212e-9	0.2676744668509832	0.583771668975551	NA	0.4072787194238208	0.24780505252953589	NA	0.3314211323166054	0.1675273845785039	NA
B	TXNIP	1.3512699011140068	1.414244741864529e-4	0.755	0.495	0.26	3	0	4.2168428107356704e-9	3.0848608680400664	3.113305487123002	NA	0.9073316640846452	NA	NA	NA	NA	NA
B	ZFAS1	0.8235625700115174	0.01145676885329156	0.877	0.692	0.18500000000000005	3	1	3.416056071707188e-7	0.7842709213514163	1.089065063573846	0.5407233315250428	NA	NA	NA	0.3429879088663186	NA	NA
B	RPL19	0.5724208044177983	0.00169353697397354	1	0.923	0.07699999999999996	3	1	5.04960633899918e-8	NA	0.44517824289772623	NA	0.21067681736476196	0.2004639001929016	NA	0.29981973027264974	NA	NA
B	RPS9	0.5651597981726537	0.00411856690598563	0.994	0.923	0.07099999999999995	3	2	1.2280299677934393e-7	NA	0.5672323904737713	NA	0.3560036956206343	0.5852058077532147	NA	0.33170803218133216	0.15717523000006217	NA
B	RPS7	0.548733828106764	2.830017844479394e-4	0.994	0.945	0.04900000000000004	3	1	8.438242723118236e-9	NA	0.29512171080325356	0.21846533139842972	NA	0.3214358961093797	NA	NA	0.1813271595865391	NA
B	RPS2	0.592476088798576	3.032620903341362e-5	1	0.978	0.02200000000000002	3	2	9.042342725688361e-10	NA	0.6610968815084766	NA	0.5527603290851832	0.5191938204580575	NA	0.33690451134587196	0.1890469589666788	NA
B	HLA-DPB1	1.3165805727577	1.3858217481366942e-8	0.896	0.429	0.467	2	1	4.1320941861073834e-13	NA	NA	0.5895689387732854	NA	0.8875028297504711	NA	NA	NA	0.25647348795923375
B	LAPTM5	1.4352444342778483	1.4431453238232263e-9	0.859	0.451	0.408	2	1	4.3030154565663615e-14	0.8777735090455017	NA	NA	0.4313448080211748	NA	NA	NA	NA	0.18446323711555832
B	MYL12A	0.5749342749360729	0.04178474846495117	0.84	0.615	0.225	2	1	1.2458926729367038e-6	0.5425107109014125	NA	NA	NA	0.4818076602672447	NA	0.27258807527006734	NA	NA
B	RPL4	0.7705324499958977	1.68267147275411e-4	0.914	0.725	0.18900000000000008	2	0	5.017208756497436e-9	NA	0.4425624182152332	NA	NA	0.3994665289968382	NA	NA	NA	NA
B	RPL29	0.5306874354914717	0.00851837257031161	1	0.945	0.05500000000000005	2	1	2.539916682661941e-7	NA	0.5866200531698196	NA	0.3138780413321305	NA	NA	0.4040247675681013	NA	NA
B	RPL18A	0.6101744529253939	0.00158689279781838	0.994	0.945	0.04900000000000004	2	1	4.7316262085347386e-8	NA	0.4949629843712273	NA	0.2979885946040879	NA	NA	0.39486755407898855	NA	NA
B	RPS18	0.7291955330535993	4.082583909992249e-6	1	0.978	0.02200000000000002	2	1	1.2173009451941824e-10	NA	0.5316265538114955	NA	0.2638441579661368	NA	NA	0.37769251220476274	NA	NA
B	RPL13	0.5031653267003131	0.02988908023374082	1	0.978	0.02200000000000002	2	1	8.912004363331393e-7	NA	0.512598585105934	NA	0.34832272333442926	NA	NA	0.3506804340565708	NA	NA
B	RPS14	0.704771166599687	2.5008897275311485e-7	0.994	0.978	0.01600000000000001	2	1	7.456883915353177e-12	NA	0.6901131483015694	NA	0.4050144131871427	NA	NA	0.5633381787117493	NA	NA
B	CD37	0.9137480463203445	6.814974704952608e-5	0.902	0.505	0.397	1	0	2.032015834263405e-9	NA	NA	NA	NA	0.3820731613748787	NA	NA	NA	NA
B	NKTR	0.7819987202212497	0.03827446115267463	0.552	0.264	0.28800000000000003	1	0	1.1412267026261143e-6	0.6429770025225798	NA	NA	NA	NA	NA	NA	NA	NA
B	EZR	0.7635258091664863	0.04271551693267019	0.828	0.582	0.246	1	0	1.273645325680428e-6	NA	NA	NA	NA	NA	0.6008467969252875	NA	NA	NA
B	RPS5	0.6432590587200906	1.2158303262076804e-4	0.988	0.89	0.09799999999999998	1	1	3.625232053812632e-9	NA	0.4297282249784762	NA	NA	NA	NA	0.2768965245810673	NA	NA
B	RPL28	0.5922708529140666	5.284147578931084e-5	1	0.934	0.06599999999999995	1	1	1.5755702722079683e-9	NA	0.3600703462607653	NA	NA	NA	NA	0.26901807965503544	NA	NA
B	PTMA	0.8986569479334561	3.231915166284094e-12	1	0.967	0.03300000000000003	1	0	9.636576916584451e-17	NA	NA	NA	NA	NA	0.741359863568098	NA	NA	NA
B	FAU	0.415303475958984	0.02335766691941875	1	0.978	0.02200000000000002	1	2	6.964537813649817e-7	NA	0.2602753114992069	NA	NA	NA	NA	0.2646076794210659	0.1904670252748586	NA
B	RPL11	0.4392654436610366	0.02869019283099427	0.994	0.989	0.005	1	1	8.554533016576504e-7	NA	0.29319352212737204	NA	NA	NA	NA	0.2529016899708374	NA	NA
B	LTB	0.9433165988454448	0.03671336411607506	0.656	0.319	0.337	0	1	1.0946795907947718e-6	NA	NA	NA	NA	NA	NA	0.8141850725704163	NA	NA
