gene	CellType	log2FoldChange_il17	padj_il17	log2FoldChange_il23	padj_il23	significant_il23	significant_il17	radar_gene	pv50_gene
A1BG	Teff	2.945	NA	-0.434	0.505	FALSE	NA	FALSE	FALSE
A1BG-AS1	Teff	3.371	0.545	-0.049	NA	NA	FALSE	FALSE	FALSE
A1CF	Teff	0.188	0.996	NA	NA	NA	FALSE	FALSE	FALSE
A2M	Teff	2.516	0.68	-1.585	NA	NA	FALSE	FALSE	FALSE
A2M-AS1	Teff	0.214	NA	-0.997	NA	NA	NA	FALSE	FALSE
A2ML1	Teff	-2.331	0.677	NA	NA	NA	FALSE	FALSE	FALSE
A2ML1-AS1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
A2ML1-AS2	Teff	1.85	NA	NA	NA	NA	NA	FALSE	FALSE
A3GALT2	Teff	1.323	NA	NA	NA	NA	NA	FALSE	FALSE
A4GALT	Teff	1.839	0.869	-2.012	NA	NA	FALSE	FALSE	FALSE
A4GNT	Teff	1.027	NA	NA	NA	NA	NA	FALSE	FALSE
AAAS	Teff	-1.359	0.799	0.671	NA	NA	FALSE	FALSE	FALSE
AACS	Teff	-1.352	0.849	0.522	NA	NA	FALSE	FALSE	FALSE
AADAC	Teff	0.511	NA	NA	NA	NA	NA	FALSE	FALSE
AADACL2	Teff	0.409	NA	NA	NA	NA	NA	FALSE	FALSE
AADACL2-AS1	Teff	-0.505	NA	NA	NA	NA	NA	FALSE	FALSE
AADACL3	Teff	2.564	0.896	NA	NA	NA	FALSE	FALSE	FALSE
AADACL4	Teff	0.391	NA	NA	NA	NA	NA	FALSE	FALSE
AADAT	Teff	-1.062	0.994	NA	NA	NA	FALSE	FALSE	FALSE
AAED1	Teff	0.966	0.927	-0.013	NA	NA	FALSE	FALSE	FALSE
AAGAB	Teff	-0.689	0.99	-0.562	NA	NA	FALSE	FALSE	FALSE
AAK1	Teff	0.427	0.996	-0.138	0.905	FALSE	FALSE	FALSE	FALSE
AAMDC	Teff	-0.976	0.933	-0.262	NA	NA	FALSE	FALSE	FALSE
AAMP	Teff	-0.849	0.978	-0.13	NA	NA	FALSE	FALSE	FALSE
AANAT	Teff	3.582	0.386	NA	NA	NA	FALSE	FALSE	FALSE
AAR2	Teff	-2.422	0.673	0.004	NA	NA	FALSE	FALSE	FALSE
AARD	Teff	5.057	NA	-1.457	NA	NA	NA	FALSE	FALSE
AARS	Teff	-0.239	0.996	-0.395	NA	NA	FALSE	FALSE	FALSE
AARS2	Teff	1.22	0.969	0.315	NA	NA	FALSE	FALSE	FALSE
AARSD1	Teff	1.799	0.793	0.186	NA	NA	FALSE	FALSE	FALSE
AASDH	Teff	1.155	0.913	0.28	NA	NA	FALSE	FALSE	FALSE
AASDHPPT	Teff	0.43	0.996	0.191	NA	NA	FALSE	FALSE	FALSE
AASS	Teff	6.142	0.02	-1.534	NA	NA	TRUE	FALSE	FALSE
AATBC	Teff	1.39	0.986	-1.955	NA	NA	FALSE	FALSE	FALSE
AATF	Teff	0.228	0.996	-0.02	NA	NA	FALSE	FALSE	FALSE
AATK	Teff	1.037	0.992	-0.51	NA	NA	FALSE	FALSE	FALSE
ABALON	Teff	-0.777	NA	-1.297	NA	NA	NA	FALSE	FALSE
ABAT	Teff	2.192	0.561	-0.128	NA	NA	FALSE	FALSE	FALSE
ABCA1	Teff	0.609	0.996	0.149	NA	NA	FALSE	FALSE	FALSE
ABCA10	Teff	3.316	0.672	-1.375	NA	NA	FALSE	FALSE	FALSE
ABCA12	Teff	-2.743	0.619	NA	NA	NA	FALSE	FALSE	FALSE
ABCA13	Teff	-3.132	0.515	NA	NA	NA	FALSE	FALSE	FALSE
ABCA2	Teff	1.31	0.927	0.392	NA	NA	FALSE	FALSE	FALSE
ABCA3	Teff	0.857	0.986	0.114	NA	NA	FALSE	FALSE	FALSE
ABCA4	Teff	-2.368	0.794	NA	NA	NA	FALSE	FALSE	FALSE
ABCA5	Teff	1.881	0.645	0.186	NA	NA	FALSE	FALSE	FALSE
ABCA6	Teff	1.441	0.96	NA	NA	NA	FALSE	FALSE	FALSE
ABCA7	Teff	-1.336	0.853	-0.214	NA	NA	FALSE	FALSE	FALSE
ABCA8	Teff	-3.081	0.65	NA	NA	NA	FALSE	FALSE	FALSE
ABCA9	Teff	1.164	0.986	NA	NA	NA	FALSE	FALSE	FALSE
ABCA9-AS1	Teff	1.068	NA	NA	NA	NA	NA	FALSE	FALSE
ABCB1	Teff	3.75	0.149	-1.925	NA	NA	FALSE	FALSE	FALSE
ABCB10	Teff	0.143	0.996	0.388	NA	NA	FALSE	FALSE	FALSE
ABCB11	Teff	2.209	0.893	NA	NA	NA	FALSE	FALSE	FALSE
ABCB4	Teff	1.852	0.939	NA	NA	NA	FALSE	FALSE	FALSE
ABCB5	Teff	-1.12	0.982	NA	NA	NA	FALSE	FALSE	FALSE
ABCB6	Teff	1.215	NA	-0.963	NA	NA	NA	FALSE	FALSE
