gene	distance	count	nCount_Spatial	cpm
CD3D	1	7	2360927	2.964937077681775
CD3D	2	10	2187821	4.570757845363035
CD3D	3	9	1586463	5.672997101098481
CD3D	4	4	897835	4.455161583141668
CD3D	5	5	629984	7.936709503733429
CD3D	6	1	625463	1.598815597405442
CD3D	7	3	776226	3.8648537925810267
CD3D	8	2	586713	3.408821689650647
CD3D	9	3	225972	13.27598109500292
CD3D	10	2	231868	8.625597322614592
CD4	1	11	2360927	4.659186836357074
CD4	2	9	2187821	4.113682060826731
CD4	3	13	1586463	8.194329146031139
CD4	4	8	897835	8.910323166283336
CD4	5	3	629984	4.762025702240057
CD4	6	2	625463	3.197631194810884
CD4	7	5	776226	6.441422987635045
CD4	8	2	586713	3.408821689650647
CD4	9	0	225972	0
CD4	10	2	231868	8.625597322614592
CD8A	1	2	2360927	0.84712487933765
CD8A	2	2	2187821	0.914151569072607
CD8A	3	2	1586463	1.260666022466329
CD8A	4	1	897835	1.113790395785417
CD8A	5	1	629984	1.5873419007466856
CD8A	6	1	625463	1.598815597405442
CD8A	7	0	776226	0
CD8A	8	0	586713	0
CD8A	9	2	225972	8.85065406333528
CD8A	10	1	231868	4.312798661307296
CD8B	1	2	2360927	0.84712487933765
CD8B	2	1	2187821	0.4570757845363035
CD8B	3	0	1586463	0
CD8B	4	0	897835	0
CD8B	5	0	629984	0
CD8B	6	1	625463	1.598815597405442
CD8B	7	0	776226	0
CD8B	8	0	586713	0
CD8B	9	0	225972	0
CD8B	10	0	231868	0
CXCL1	1	0	2360927	0
CXCL1	2	0	2187821	0
CXCL1	3	0	1586463	0
CXCL1	4	0	897835	0
CXCL1	5	0	629984	0
CXCL1	6	0	625463	0
CXCL1	7	0	776226	0
CXCL1	8	0	586713	0
CXCL1	9	0	225972	0
CXCL1	10	0	231868	0
CXCL13	1	15	2360927	6.353436595032375
CXCL13	2	10	2187821	4.570757845363035
CXCL13	3	5	1586463	3.151665056165823
CXCL13	4	1	897835	1.113790395785417
CXCL13	5	3	629984	4.762025702240057
CXCL13	6	1	625463	1.598815597405442
CXCL13	7	4	776226	5.153138390108035
CXCL13	8	3	586713	5.113232534475971
CXCL13	9	7	225972	30.977289221673484
CXCL13	10	1	231868	4.312798661307296
DEFB4A	1	404	2360927	171.11922562620532
DEFB4A	2	348	2187821	159.0623730186336
DEFB4A	3	202	1586463	127.32726826909926
DEFB4A	4	76	897835	84.6480700796917
DEFB4A	5	57	629984	90.47848834256108
DEFB4A	6	77	625463	123.10880100021903
DEFB4A	7	105	776226	135.26988274033593
DEFB4A	8	38	586713	64.76761210336228
DEFB4A	9	22	225972	97.35719469668808
DEFB4A	10	23	231868	99.19436921006779
IFNG	1	1	2360927	0.423562439668825
IFNG	2	2	2187821	0.914151569072607
IFNG	3	6	1586463	3.7819980673989875
IFNG	4	0	897835	0
IFNG	5	0	629984	0
IFNG	6	2	625463	3.197631194810884
IFNG	7	1	776226	1.2882845975270087
