cluster	gene	Status
Trm	GK	All
Trm	IL2RA	All
Trm	GNLY	All
Trm	C11orf96	All
Trm	GNG4	All
Trm	HPGD	Strict
Trm	IL17A	All
Trm	BCAT1	All
Trm	LYPD6B	All
Trm	HAVCR2	All
Trm	TNFRSF4	All
Trm	NMB	All
Trm	ANKS1B	All
Trm	IGFL2	All
Trm	ETV7	All
Trm	CADM1	All
Trm	NPDC1	All
Trm	GZMB	All
Trm	CPM	All
Trm	SMAP2	Strict
Trm	ADGRG1	Strict
Trm	TNFRSF9	All
Trm	TSHZ2	Strict
Trm	MYL6B	All
Trm	LRMP	All
Trm	GYPC	Strict
Trm	AC133644.2	All
Trm	TMC8	All
Trm	TNFRSF18	All
Trm	TNS3	All
Trm	HLA-DQA1	All
Trm	CTLA4	All
Trm	GZMK	All
Trm	GALNT2	All
Trm	PDE7B	All
Trm	SOX4	All
Trm	YBX3	All
Trm	TNIP3	All
Trm	PPFIBP1	All
Trm	TSC22D3	Strict
Trm	AC099552.1	All
Trm	KIAA0319L	All
Trm	AHI1	Strict
Trm	MS4A6A	All
Trm	ZNF282	All
Trm	NUSAP1	All
Trm	TSPAN14	Strict
Trm	SAP30	All
Trm	EVA1B	All
Trm	MSI2	All
Trm	HIPK2	All
Trm	NINJ2	All
Trm	NCAPH	All
Trm	ADAT2	All
Trm	KLF2	All
Trm	AL031056.1	All
Trm	CXCL13	Strict
Trm	METTL8	All
Trm	SLA2	All
Trm	ATP6V1A	All
Trm	AC008011.2	All
Trm	HTRA3	All
Trm	TSPAN13	All
Trm	S100A2	All
Trm	GLCCI1	All
Trm	HELLS	All
Trm	CCR7	Strict
Trm	MKI67	All
Trm	CYGB	All
Trm	WDR11	All
Trm	TST	All
Trm	SLC27A2	All
Trm	HIST3H2A	All
Trm	SYTL3	Strict
Trm	PDE3B	Strict
Trm	RDH10	All
Trm	BIN1	All
Trm	DDIT4	All
Trm	ST3GAL1	All
Trm	FUCA1	All
Trm	AREG	All
Trm	PXDC1	All
Trm	TPX2	All
Trm	MAP3K1	All
Trm	ZMYND8	All
Trm	AL606807.1	All
Trm	C12orf75	All
Trm	TRERF1	All
Trm	MIR3142HG	All
Trm	NSUN7	All
Trm	AL441992.1	All
Trm	NAB1	All
Trm	VDR	All
Trm	MAL	All
Trm	FBXO32	All
Trm	CASS4	All
Trm	NKG7	All
Trm	TP53I3	All
Trm	ANKRD26	All
Trm	CARS	All
Trm	N4BP2	All
Trm	HLA-DPA1	All
Trm	IL26	All
Trm	GNLY	All
Trm	GZMB	All
Trm	HPGD	Strict
Trm	IL17A	All
Trm	TSHZ2	Strict
Trm	GNG4	All
Trm	IL2RA	All
Trm	ADGRG1	Strict
Trm	TNFRSF4	All
Trm	C11orf96	All
Trm	SLC27A2	All
Trm	GK	All
Trm	ETV7	All
Trm	CXCL13	Strict
Trm	CPM	All
Trm	SOX4	All
Trm	IL17F	All
