gs_cat	gs_subcat	gs_name	gene_symbol	entrez_gene	ensembl_gene	human_gene_symbol	human_entrez_gene	human_ensembl_gene	gs_id	gs_pmid	gs_geoid	gs_exact_source	gs_url	gs_description
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CD2	914	ENSG00000116824	CD2	914	ENSG00000116824	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CD247	919	ENSG00000198821	CD247	919	ENSG00000198821	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CD34	947	ENSG00000174059	CD34	947	ENSG00000174059	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CD3D	915	ENSG00000167286	CD3D	915	ENSG00000167286	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CD3E	916	ENSG00000198851	CD3E	916	ENSG00000198851	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CD3G	917	ENSG00000160654	CD3G	917	ENSG00000160654	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CD4	920	ENSG00000010610	CD4	920	ENSG00000010610	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CD58	965	ENSG00000116815	CD58	965	ENSG00000116815	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CD8A	925	ENSG00000153563	CD8A	925	ENSG00000153563	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CSF3	1440	ENSG00000108342	CSF3	1440	ENSG00000108342	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
C2	CP:BIOCARTA	BIOCARTA_IL17_PATHWAY	CXCL8	3576	ENSG00000169429	CXCL8	3576	ENSG00000169429	M19422				https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_il17Pathway.gif	IL 17 Signaling Pathway
