id	n_APC	n_B	n_Cycling	n_Lymphocyte	n_Mast	n_Stromal
S150	238	23	2	3753	38	60
S154	1319	18	9	3471	185	316
S155	1442	2	1	3961	31	97
S165	545	13	58	3807	220	11
S169	1886	10	5	1988	170	155
S170	656	21	42	4547	131	16
S173	199	19	1	2265	52	43
S194	191	6	69	3653	479	88
S195	1380	1	1	1905	114	838
S198	408	9	7	3512	242	42
S199	647	37	7	4201	253	54
S202	724	13	13	2111	273	240
S204	1791	5	1	3271	744	232
S207	1402	5	2	3491	372	311
S211	463	54	6	3671	359	81
S222	955	40	17	4113	60	32
S230	1497	14	50	4260	156	10
S231	388	11	13	2301	276	7
S232	578	7	16	3035	113	32
S233	278	15	3	571	36	11
S235	1650	2	16	1299	412	33
S236	502	3	235	4972	194	19
S239	2722	4	3	3458	440	214
S242	831	7	1	1837	189	233
S244	829	59	25	4732	334	109
S248	1883	6	4	2115	241	487
S253	700	36	55	1989	503	25
S264	174	8	2	473	31	6
S269	191	2	1	429	36	11
S277	100	36	17	3416	61	21
S279	40	16	11	4493	18	4
S285	7	2	0	493	2	1
S286	871	7	8	4543	164	17
S289	824	17	14	4104	68	13
S290	250	52	4	5125	25	3
S292	63	18	13	5009	79	4
S296	18	11	6	2033	75	0
S301	33	11	15	2785	7	0
S304	38	17	3	761	20	3
S305	10	3	0	2183	16	4
S310	543	8	3	800	277	42
S322	679	109	2	926	1426	27
