global	label	r
0	Tcm	0.993
1	Trm1	0.996
2	eTreg1	0.994
3	CTLex	0.995
4	Trm2	0.992
5	Tcm	0.988
6	CTLem	0.995
7	cmTreg	0.989
8	Trm2	0.993
9	LC1	0.997
10	Tcm	0.989
11	moDC2	0.997
12	Tet	0.956
13	Mast	0.986
14	Tcm	0.989
15	Mono	0.997
16	Mast	0.999
17	cmTreg	0.952
18	Mac1	0.999
19	NK	0.973
20	eTreg2	0.977
21	moDC3	0.991
22	moDC1	0.998
23	Trm2	0.993
24	ILC/NK	0.989
25	Tmm2	0.719
26	Mono	0.974
27	DC2	0.996
28	NK	0.986
29	Trm3	0.992
30	CTLem	0.986
31	DC1	0.879
32	Mast	0.986
33	B	0.974
34	CTLex	0.975
35	ILC2	0.983
36	moDC1	0.969
37	Mac4	0.972
