cluster	gene	Status
CTLem	ZFP36L2	All
CTLem	SMAP2	All
CTLem	IL7R	All
CTLem	TXNIP	All
CTLem	RPS2	All
CTLem	FKBP5	All
CTLem	RPL3	All
CTLem	TSC22D3	All
CTLem	BTG1	All
CTLem	CXCR4	All
CTLem	MT-CYB	All
CTLem	DDIT4	All
CTLem	NEAT1	All
CTLem	RPL13	All
CTLem	MT-CO3	All
CTLem	PIK3IP1	All
CTLem	RPS9	All
CTLem	RPL10	All
CTLem	ZFAS1	All
CTLem	MT-ND1	All
NK	RPS2	All
NK	CD44	All
NK	IL7R	All
NK	CD7	All
NK	RPS9	All
NK	RPL13	All
NK	TSC22D3	All
NK	CXCR4	Strict
NK	AHI1	Strict
NK	TNFRSF18	Strict
NK	ZFP36L2	Strict
NK	RPL15	All
NK	RPL18	All
NK	FKBP5	All
NK	VIM	All
NK	XCL1	All
NK	KLRC1	All
NK	SMAP2	All
NK	MT-ND1	All
NK	HIST1H1E	All
NK	FAM129A	All
NK	MT-CO3	All
NK	CLDND1	All
NK	PPP1R14B	All
NK	SOX4	All
NK	ACAP1	All
NK	GNLY	All
NK	MT-CYB	All
NK	RUNX3	All
NK	IKZF1	All
NK	ITGA1	All
NK	ARL4C	All
NK	NEAT1	All
NK	ITM2C	All
NK	LINC00996	All
NK	RGS1	All
NK	ALOX5AP	All
NK	GZMK	All
NK	BTG1	All
NK	AL136454.1	All
NK	RALA	All
NK	CD63	All
NK	CAPG	All
NK	LGALS3	All
NK	RCSD1	All
NK	S100A10	All
NK	FXYD5	All
NK	NBEAL1	All
NK	FAM102A	All
NK	PIK3IP1	All
NK	OCIAD2	All
NK	DNPH1	All
NK	CXCL8	All
NK	MT-ND4	All
eTreg1	IL7R	All
eTreg1	SMAP2	All
CTLex	ZFP36L2	Strict
CTLex	SMAP2	Strict
CTLex	NEAT1	Strict
CTLex	RPS2	All
CTLex	ISG20	Strict
CTLex	RPL15	All
CTLex	TXNIP	All
CTLex	FKBP5	All
CTLex	TSC22D3	All
CTLex	HERPUD1	All
CTLex	SYTL3	All
CTLex	GYPC	All
CTLex	MT-CYB	Strict
CTLex	BTG1	All
CTLex	GIMAP1	All
CTLex	GABPB1-AS1	All
CTLex	CNOT6L	All
CTLex	MT-CO3	Strict
CTLex	STK4	All
CTLex	PRDM1	All
CTLex	IKZF1	All
CTLex	CCR7	All
CTLex	MT-ND1	Strict
CTLex	IQGAP2	All
CTLex	PASK	All
CTLex	RPS15A	All
CTLex	PIK3IP1	All
CTLex	CD7	All
CTLex	HLA-E	All
CTLex	MIAT	All
CTLex	ACAP1	All
CTLex	CXCR4	All
CTLex	DDIT4	All
CTLex	AL136454.1	All
CTLex	SMCHD1	All
CTLex	GIMAP7	All
CTLex	FAM129A	All
CTLex	GIMAP4	All
CTLex	HLA-C	All
CTLex	SLC1A4	All
Tmm1	ZFP36L2	All
Tmm1	TSC22D3	All
Tmm1	RPL13	All
Tmm1	RPS2	All
Tmm1	FKBP5	All
Tmm1	RPL10	All
Tmm1	GAPDH	All
Tmm1	RPS4X	All
Tmm1	RACK1	All
Tmm1	RPL11	All
Tmm1	RPL5	All
Tmm1	RPL8	All
Tmm1	RPS15A	All
Tmm1	RPS8	All
Tmm1	RPL14	All
Tmm1	RPS9	All
Tmm1	EEF1A1	All
Tmm1	RPL13A	All
Tmm1	TXNIP	All
Tmm1	EEF1D	All
Tmm1	SYTL3	All
Tmm1	RPS7	All
Tmm1	RPS23	All
Tmm1	RPL18A	All
Tmm1	RPS3	All
Tmm1	DDIT4	All
Tmm1	SARAF	All
Tmm1	NBEAL1	All
moDC1	MALAT1	All
moDC1	THBS1	All
moDC1	NEAT1	All
moDC1	SAT1	All
moDC1	TPT1	All
moDC1	HLA-B	All
moDC1	MXD1	All
moDC1	MYO1G	All
moDC1	SOD2	All
moDC1	TSC22D3	All
moDC1	LYZ	All
moDC1	HLA-A	All
moDC1	JAK1	All
moDC1	HLA-C	All
moDC1	CEBPD	All
moDC1	B2M	All
moDC1	CPD	All
moDC1	VMO1	All
moDC1	C5AR1	All
moDC1	GK	All
moDC1	FTH1	All
moDC1	MT-ND1	All
moDC1	AC090377.1	All
moDC1	TNFSF13B	All
moDC1	MT-CO3	All
moDC1	SLAMF7	All
moDC1	ENPP4	All
moDC1	LYST	All
