gene	log2FoldChange_CD8	log2FoldChange_Teff	padj_CD8	padj_Teff	avg_log2FC_Trm1	p_val_adj_Trm1	avg_log2FC_P1	avg_log2FC_P2	avg_log2FC_P3	avg_log2FC_P4	avg_log2FC_P5	avg_log2FC_P6	avg_log2FC_P7	avg_log2FC_P8	avg_log2FC_P9	p_val_adj_P1	p_val_adj_P2	p_val_adj_P3	p_val_adj_P4	p_val_adj_P5	p_val_adj_P6	p_val_adj_P7	p_val_adj_P8	p_val_adj_P9
ABCB1	1.27	2.675	0.717	0.091	-0.1633455245561641	4.622103047495025e-9	-0.22142070176778017	-0.16792697002909507	NA	-0.18915813586484545	-0.15407988630617106	NA	NA	NA	NA	1	1	NA	1	1	NA	NA	NA	NA
ABCD4	-1.41	-0.593	0.606	0.653	0.16715815607796203	1	0.45688117723755217	0.2550196797664965	NA	NA	NA	0.27539369552928306	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA
ABHD17A	-1.775	-1.991	0.613	0.206	0.1552842603997464	1	0.7042081954645232	NA	NA	0.1594516062659317	0.24126619783219683	0.3398842942253001	0.2803676677881288	0.3342795137180352	NA	1	NA	NA	1	1	1	1	0.6560097331026776	NA
ABTB1	-1.256	-1.252	0.752	0.369	0.13756369766064797	1	NA	NA	0.1762015929650224	NA	NA	0.3430896767388005	0.1789631150099052	NA	NA	NA	NA	1	NA	NA	1	1	NA	NA
AC133644.2	0.169	-0.565	0.954	0.567	0.36072193914827416	1.6920251972043814e-7	NA	0.24053085019313347	0.5637370732463685	0.3001031197337611	0.14636278263795025	0.32522060960048	0.5465771688844077	0.26199357196214934	NA	NA	1	1	1	1	1	0.00105632900705603	1	NA
ACADVL	-1.73	-1.894	0.484	0.124	0.1928999888272208	1	NA	0.45516747828121984	0.32901438103767544	NA	0.25867809843158196	0.37469593920273	NA	0.17843173824346814	0.16491898305145758	NA	1	1	NA	1	1	NA	1	0.11444841238823444
ACAP1	-1.988	-1.62	0.428	0.176	0.29277718014843424	0.01134793199847826	1.0811595626589483	0.446540385028946	-0.39057373472871904	0.4620179214928273	NA	0.4771974454093131	0.16262376012880586	NA	0.18535930847783444	9.616844559083156e-4	1	1	1	NA	1	1	NA	1
ACAP2	-0.596	0.53	0.82	0.553	0.2730563556030393	0.18527415747390413	0.24041542817786488	0.31158162024235214	NA	0.22717485746846425	NA	0.6706590226273459	-0.3695239799658594	NA	NA	1	1	NA	1	NA	0.2921030359263381	0.03287663393582803	NA	NA
ACAT2	0.074	-0.899	0.978	0.399	-0.18719084586862145	0.01390814108366828	-0.340823733492542	-0.17531349811310448	-0.4370802307679802	-0.30886438456726506	NA	NA	NA	NA	NA	1	1	1	0.36618882833023225	NA	NA	NA	NA	NA
ACBD6	-0.512	-0.026	0.853	0.988	0.1676389664719921	1	0.3487327199929377	NA	-0.17246019389381617	NA	0.4255897450389378	0.3234779371791747	-0.21211442687775697	NA	NA	1	NA	1	NA	1	1	1	NA	NA
ACIN1	-0.669	-0.283	0.819	0.764	0.16884272836904524	1	NA	NA	-0.1635756320516404	0.15322910859784966	NA	0.6079720966899698	-0.7090885800708882	-0.22428823293441016	0.24489687382393224	NA	NA	1	1	NA	1	6.448272549972737e-15	1	0.01688644999702086
ACP5	0.32	-0.298	0.963	0.892	0.16598766051247937	1	0.1796559047741736	0.30255371821868215	0.2974667539021426	0.246383841430318	NA	NA	NA	NA	NA	1	1	1	1	NA	NA	NA	NA	NA
ACTG1	-0.577	-1.139	0.795	0.337	0.3700315678523647	2.560667283624091e-6	0.3392649288918421	0.4240668403989986	0.4139077849741555	0.19461786611998244	0.8586383037458942	0.19820711092756535	0.5883793828206725	0.2979366503487575	0.2970919620734578	1	1	1	1	8.137894354358051e-5	1	0.00920934866005959	0.10870376291272896	0.22561648702967857
ACTN4	-1.31	-0.25	0.692	0.878	0.2316806865799053	0.9612994298100684	0.5761712452308614	-0.19057302399685083	NA	0.14890329239859756	NA	0.7716976826375591	NA	NA	0.15736687084789502	1	1	NA	1	NA	0.00102602619951951	NA	NA	1
ACTR3	-0.111	-0.027	0.965	0.982	0.2103027383520479	0.06855509778947454	0.5344805140572091	0.21875995881455523	NA	0.33115436383994634	0.27995311977147574	NA	-0.22915767988431424	NA	0.3078325847441703	1	1	NA	1	1	NA	1	NA	1.165243007023655e-6
ADAM10	-0.004	1.259	0.999	0.26	0.15958286555807888	1	NA	0.2503113665822996	NA	0.27415619420740067	NA	NA	-0.43253361178373495	-0.24014750587023292	NA	NA	1	NA	1	NA	NA	4.37734706896917e-4	1	NA
ADAM19	-0.65	1.262	0.832	0.257	0.30500686758347717	9.124234923672171e-5	0.94418086158201	NA	0.3512121281425866	0.46564275194511007	NA	0.3678809072469458	-0.25076486349237687	NA	NA	0.1957747616314131	NA	1	0.0925896737585521	NA	1	1	NA	NA
ADAT2	0.224	2.165	0.966	0.096	0.15067884649577715	0.2907840301178012	NA	NA	0.2509501294611774	NA	NA	0.2642384206264089	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA
ADGRG1	-0.801	0.66	0.837	0.663	0.675060277395667	4.3739872249706263e-16	1.3817129433925477	0.9487291360782388	0.5211298650523788	0.4542347930015714	0.1777828539745746	0.7072372372257784	NA	0.14569718333318837	NA	0.00473469127356837	0.02015545853814443	1	1	1	0.05935964716572483	NA	1	NA
ADI1	2.139	-0.83	0.395	0.456	0.2050339609899119	1	-0.2605221456431719	0.16036401693954794	0.3884860976042931	-0.2454296272726424	NA	0.7026177950049742	-0.14773841696556045	NA	NA	1	1	1	1	NA	0.15967263033216644	1	NA	NA
ADPGK	-1.639	-0.929	0.44	0.45	0.15600687552376302	1	0.44639900699227225	0.17931527545878095	NA	0.1808857193664673	NA	0.29916232296382717	NA	NA	NA	1	1	NA	1	NA	1	NA	NA	NA
AFG3L2	-1.008	-0.275	0.707	0.871	0.17492589821542665	1	NA	NA	0.18911806489376415	NA	0.17927295351286188	0.3821588770320617	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA
AGFG2	-2.603	0.923	0.481	0.623	0.15109734191520707	1	NA	NA	0.1613716824754366	0.157471996197716	NA	0.27932967830044014	-0.28532749063367063	NA	NA	NA	NA	1	1	NA	1	0.04001243989601495	NA	NA
AGPAT5	0.744	1.308	0.774	0.247	0.2589497440512251	0.08925030084970753	0.4559049105569254	0.7155738505725016	0.2792155458451585	0.1444016906035281	NA	NA	-0.1918889568780049	NA	NA	1	0.24583966653420905	1	1	NA	NA	1	NA	NA
AHI1	0.774	0.56	0.792	0.597	1.067808811493695	1.252871267298092e-47	0.9332770459976234	0.3339201969528569	1.0442292187253894	0.2592746991031838	1.3508766326923378	1.8376408014920167	NA	NA	0.4410021749736257	1	1	6.143112949543857e-6	1	9.823791166307901e-8	1.0637765772857072e-20	NA	NA	5.25416125661932e-6
AHR	-1.163	-1.377	0.759	0.251	0.143511751817202	1	0.2236513604201008	-0.15914293488215836	0.37206233965586755	NA	NA	0.3124929164621707	-0.4678475914555677	NA	0.28905172354383823	1	1	1	NA	NA	1	3.1209225568067614e-5	NA	7.724188339013399e-4
AIP	-0.452	-0.563	0.914	0.676	0.2975500186488035	0.00131837744699432	0.4757382616117722	0.42913132169854096	0.4166696288918431	0.2737758572526393	NA	0.3528639376267295	NA	NA	NA	1	1	1	1	NA	1	NA	NA	NA
AK3	-0.616	0.445	0.889	0.743	0.1705969611474405	1	0.3406335297069358	0.3363879811111428	0.1830238161770963	0.18659922027393108	NA	NA	NA	NA	NA	1	1	1	1	NA	NA	NA	NA	NA
AKAP13	-0.042	-0.264	0.991	0.797	0.4107244593817969	1.4001332795556722e-10	0.8853415982429063	0.24242711699284136	-0.4313729432805693	0.5562620825628148	0.5236385053695711	0.3900112308206738	-0.16370830029158912	NA	0.3151330189287762	0.01962058441704827	1	1	0.00144477981461789	0.3342262369698547	1	1	NA	1.586513755862708e-6
AKAP8L	-2.185	-1.227	0.426	0.494	0.1528439873113347	1	0.41790016246786377	0.1862693542956256	NA	0.1506729709832763	0.1913711180882936	0.165152240685561	-0.1819856235151181	NA	0.14331635827603278	1	1	NA	1	1	1	1	NA	0.015111490577198
AKNA	-0.192	0.475	0.942	0.647	0.41136931783495745	5.027659360742945e-7	0.7784127108789847	0.5719143785783176	NA	0.8009657223723878	NA	0.2716562878024099	0.21087211285353225	NA	NA	1	1	NA	1.1110185030932369e-8	NA	1	1	NA	NA
AKR7A2	-0.386	-1.373	0.945	0.389	0.14205531774953417	1	0.29871399426507905	0.1923853674487026	0.15307088617581432	0.2118071479226764	0.2227479344155496	NA	0.3465988981543768	0.1913261054347133	NA	1	1	1	1	1	NA	0.18059803120820156	1	NA
ALKBH7	0.084	-1.35	0.988	0.364	0.2802987182662636	0.00882011062388874	NA	0.4943876715445723	NA	0.28009662834211624	0.16239062121013437	0.43724565269225646	NA	0.2615711756275081	NA	NA	1	NA	1	1	1	NA	1	NA
ALOX5AP	0.789	-1.106	0.772	0.296	0.1955161223817763	1	NA	-0.46522151259892297	0.43852642617649984	0.2761940065105004	-0.3231163498115679	0.8162687109861815	0.571937287218315	NA	NA	NA	0.00424446820173868	1	1	1	1.4154628696437295e-9	6.764747259006785e-8	NA	NA
AMD1	-0.639	-0.321	0.81	0.797	-0.17227039627874052	1	NA	-0.14158694509745717	0.21192285566618208	-0.41042873647296496	-0.2629961899898615	NA	NA	NA	NA	NA	1	1	0.0727843467867712	1	NA	NA	NA	NA
ANAPC16	1.478	-0.526	0.481	0.579	0.1748980567011169	1	0.2966887681269874	0.15248601425673325	0.34890298163089883	0.1792692508520657	NA	0.19378298752011092	0.25562378695191645	0.25577695949306234	NA	1	1	1	1	NA	1	1	1	NA
ANAPC5	-0.383	-0.456	0.894	0.642	0.14409030776818663	1	0.30540768532270646	0.17319963360177004	NA	0.27376249008663067	-0.22131435356503937	0.49400513380416206	-0.18146610600317636	NA	NA	1	1	NA	1	1	1	1	NA	NA
ANKLE2	-0.585	-0.731	0.879	0.532	0.1812370113428522	1	0.3638749670968815	NA	NA	NA	0.4005024634155405	0.3254109497119576	-0.4948832714834067	-0.23638484654602365	NA	1	NA	NA	NA	1	1	1.1524537774779172e-5	0.0789948449243472	NA
ANKRD10	-0.395	-0.243	0.919	0.815	0.18578974110556873	1	0.5147753448330877	NA	NA	0.31527465811487826	NA	0.31195114961771275	-0.19220695102715113	NA	0.1397451189504436	1	NA	NA	1	NA	1	1	NA	0.04141087314660345
ANKRD11	-0.626	-0.358	0.815	0.798	0.45454443337489825	1.6077937684450572e-12	0.5124590619602021	0.3761397540716336	NA	0.402851101790849	0.5230920700654207	0.8429318791919029	-0.5165513634339778	NA	0.4145950053414338	1	1	NA	1	0.4273744050788226	3.1186145622194615e-4	7.601593767468875e-9	NA	5.309277696621466e-9
ANKRD13A	-0.521	-0.444	0.841	0.707	0.29330639593671626	0.00453930830402906	0.1817617208463227	0.16359546004654946	0.15697713573718242	0.3149527261417485	0.2748772927046978	0.44729735599746073	-0.30446336058278967	NA	NA	1	1	1	1	1	1	1	NA	NA
ANKRD17	0.069	0.286	0.987	0.824	0.15028728188787627	1	0.20187222098927976	0.24055295028839108	-0.2992454983954823	0.3807572542192993	NA	NA	-0.18372424646038263	NA	0.2129605716132157	1	1	1	1	NA	NA	1	NA	0.00135752449185069
ANKRD26	-0.254	1.158	0.948	0.397	0.2027500521361553	0.14430577015108795	0.1885099856001499	NA	NA	0.2006171354920939	0.3071483023603586	0.2594883772414409	NA	NA	0.20336748148748873	1	NA	NA	1	1	1	NA	NA	0.00410236487232031
ANKRD28	0.183	0.328	0.971	0.809	0.5187967686026607	9.331473037764152e-15	1.4563062654891206	0.7333364379618665	0.1628981764316344	0.33690539763231353	-0.39515614907977625	0.6231018593620616	-0.38399169346735507	-0.24333786224169107	NA	4.142476670718546e-6	5.272261868652428e-4	1	1	1	0.28294317645446504	0.00695577876798608	1	NA
ANKRD36C	-0.478	-0.117	0.872	0.934	0.1712630746326006	1	0.8001309848890421	NA	-0.2132610045507645	NA	0.5853191224818066	NA	-0.35884165498722	NA	NA	0.8436051624011659	NA	1	NA	0.00346542835188234	NA	0.03509600855536993	NA	NA
ANKRD44	0.434	2.325	0.898	0.049	0.15869252866974437	1	0.34141995993425645	NA	NA	0.4088561938313575	NA	0.2892070545687976	NA	NA	NA	1	NA	NA	1	NA	1	NA	NA	NA
ANKRD49	-0.153	-0.503	0.969	0.692	-0.16861923281288427	1	-0.186428670376655	-0.30066401587945624	0.219871416562218	NA	-0.4303405133433794	-0.24346866034817805	0.206871735775666	NA	-0.3651559796117262	1	1	1	NA	1	1	1	NA	0.6412221778442021
ANKS1B	0.563	1.894	0.859	0.177	0.43130464694033555	2.627799427170713e-13	0.20686075964976708	0.31448184071330704	0.5995102847018925	0.5529210440434773	0.13843195298279465	0.4878599647648876	0.21203696895798416	NA	NA	1	1	1	0.00199839751894088	1	0.5826456743902624	1	NA	NA
ANP32B	0.522	0.003	0.819	0.997	0.37565201509732393	2.893460294706166e-12	0.16084041326268372	0.3287654997766192	0.2964109120448257	0.3446240842364987	0.27496488987928025	0.500861157084104	NA	NA	NA	1	1	1	1	1	0.2611285318863016	NA	NA	NA
ANP32E	0.715	0.322	0.766	0.811	0.2145344553589472	1	NA	NA	0.2956165768635801	0.4539183287332939	NA	NA	-0.3084189798364647	NA	NA	NA	NA	1	0.9322979932853288	NA	NA	1	NA	NA
ANTXR2	-0.64	-0.293	0.81	0.808	0.1687374783364174	1	0.7232279627162052	NA	NA	NA	0.26823838444858006	NA	-0.4211882797820913	-0.15089357833614037	NA	1	NA	NA	NA	1	NA	0.02153785406485764	1	NA
ANXA1	-0.421	-0.792	0.908	0.57	-0.964952230755482	3.2910185019798864e-83	-0.7948808805798655	-1.8185074008185032	-0.6740161536427074	-1.1969624685697284	NA	-1.0367356856679666	-0.5878864671562831	-1.083740021912751	-0.19239892110329704	1	2.89815689315016e-32	0.00944508324169926	5.301130158028443e-28	NA	9.010265744596444e-17	0.05359213649853574	2.952852382717023e-27	1
ANXA2	0.027	-0.876	0.994	0.475	-0.19433408594123147	0.01406947384350505	NA	-0.6119049219856962	-0.46614143143942344	-0.540588301496653	0.24189838921747997	NA	-0.4007911028096922	-0.177003063862758	NA	NA	1.7459006530958263e-4	1	2.215117838217471e-4	1	NA	4.0323906824498926e-4	1	NA
ANXA5	-0.246	-0.538	0.922	0.66	0.3233225498100709	0.00102363391806018	0.5321889099008574	NA	NA	NA	NA	0.976373001220725	-0.6123060750319214	-0.21047718011246383	0.2940528276514296	1	NA	NA	NA	NA	7.293217875913905e-11	1.805065469437402e-15	1	8.838258823158063e-5
AP2B1	0.131	-0.438	0.975	0.718	-0.2342385534933913	0.00746486770246032	-0.7567858805699821	-0.37111414696441136	-0.6390553825064895	-0.5863323041873019	-0.545826108066493	0.6123246998527816	0.2185605553205172	NA	-0.24534661189307383	1	1	0.04374359077367653	1.6400246540800654e-7	1	0.00722801917657153	1	NA	1
AP2M1	0.078	-1.35	0.987	0.219	0.1457989500153858	1	0.21552173867479985	NA	NA	0.14071320437878554	0.16602988450574907	0.510424811160764	NA	NA	0.15805305657760926	1	NA	NA	1	1	1	NA	NA	1
AP3D1	-1.959	-1.283	0.556	0.379	0.19491537572474732	0.76349119766563045	0.28496017400754914	0.19324779104074608	NA	0.20738943071799615	0.16102237076968362	0.18772201647897369	NA	NA	NA	1	1	NA	1	1	1	NA	NA	NA
APBB1IP	0.327	-0.465	0.898	0.681	0.16844353358265285	1	-0.39718239760537766	0.19552436643033344	-0.2012481556925481	0.23881053242928596	0.27366475523298606	0.4368113414538555	-0.16022649587923232	NA	NA	1	1	1	1	1	1	1	NA	NA
APH1A	0.764	0.192	0.882	0.906	0.1572301868485666	1	0.19626533955762737	NA	0.32791759533481724	NA	0.279253731822047	0.1537839181464582	NA	NA	0.1664311769175596	1	NA	1	NA	1	1	NA	NA	0.00927836778170322
APH1B	1.352	0.313	0.484	0.782	0.15974909222899256	1	NA	NA	0.35183414342087105	0.13922165017605315	NA	0.1851705530742409	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA
APLP2	-0.594	-0.298	0.864	0.8	0.27810033669543244	0.6478937620574091	0.314044731023577	NA	0.14048734992897516	-0.17773336987492405	0.5916559897751188	0.5486173257736198	-0.20851106455330537	NA	0.20792641908596352	1	NA	1	1	0.05398511971723219	1	1	NA	5.456543188345749e-4
APOLD1	0.971	1.648	0.744	0.154	-0.14956180596735813	0.6759099118838284	-0.4617251111030192	-0.17673103535514567	NA	NA	-0.3494345514976911	0.2895061330571862	0.32444873134866975	NA	NA	1	1	NA	NA	1	1	1	NA	NA
APP	-1.56	1.013	0.598	0.542	-0.13951467181781657	1	0.5491134897800628	NA	-0.3456509174324578	NA	-0.37679271521917346	0.28412967351760976	-0.5725330011785655	NA	0.30953524740499583	1	NA	1	NA	1	1	0.15298097156641607	NA	0.1983168583700268
AREG	2.816	-0.466	0.45	0.77	0.3875131655672784	0.8130793563321345	0.63244189967609	0.9564060640873098	NA	0.6131307893679663	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA
ARF6	-0.637	0.176	0.764	0.901	-0.18708480900697477	0.6270926558172932	NA	-0.193792209601505	-0.20814069362658416	-0.22903456616371295	-0.40286195033114414	NA	NA	-0.18272109402746703	NA	NA	1	1	1	1	NA	NA	1	NA
ARFGAP2	-1.639	-1.452	0.513	0.162	0.19680164804108008	1	0.2118601825379236	0.30464223140565816	NA	0.16944360515813744	0.1457215943781759	0.2537553167452961	NA	NA	NA	1	1	NA	1	1	1	NA	NA	NA
ARGLU1	0.034	-0.605	0.992	0.51	0.4692370109760273	1.4883736059476444e-16	1.043492878715632	0.29421037324506116	NA	0.5257781864913897	0.2596069745096372	0.9098473721664448	-0.4456549670558998	NA	NA	0.01526086136598756	1	NA	0.09773455370804204	1	1.444918799130301e-7	1.2724629039940484e-5	NA	NA
ARHGAP30	-1.035	-0.997	0.705	0.401	0.16905076990366763	1	0.32408721150598785	-0.2509029169647429	-0.158585759562746	0.3411398723402259	0.15369373246449536	0.3973912633255944	0.21493967468704556	NA	NA	1	1	1	1	1	1	1	NA	NA
ARHGEF1	-1.691	-1.062	0.495	0.469	0.20860774963078169	0.19008715396806164	0.3820550269657955	0.21462904818074724	0.17208006271832085	0.31382548118503706	NA	0.3380583401861549	NA	NA	NA	1	1	1	1	NA	1	NA	NA	NA
ARHGEF12	-0.447	2.042	0.911	0.099	0.17174056384592828	1	0.3600578320611514	NA	NA	0.46610450502530726	-0.4988500528995874	0.24356799241570115	-1.2424313855712363	-0.17278850528359602	0.27219204549181675	1	NA	NA	0.4823056203244042	1	1	1.0204508599970356e-35	1	1
