ultracluster	Mid	AD
Mac	-0.2123434004441795	0.23905860005109925
Trm	0.5303865245752484	-0.45230986151320673
LC	0.5344629754706185	0.2607781420380776
Tmm	0.7243774346835692	0.25169420688148847
CTL	0.0345330204247331	0.4321513003970325
Mast	0.36634947642833426	0.44058596073088285
Mono	-0.3502106181638917	-0.3320772842541203
Tcm	-0.0659835039808617	-0.24249825211314327
moDC	-0.044064162725917545	-0.443528722651644
Tet	-0.3367468117333993	-0.5484378824456978
ILC + NK	0.2479882418889076	0.3791588316493247
Treg	0.10170205869796334	-0.004353216732300371
DC	0.47981450870916653	0.7777603696093535
