cluster	gene	Status
CTLem	AREG	All
CTLem	KLF2	All
CTLem	AL136454.1	All
CTLem	DDIT4	All
CTLem	SOX4	All
NK	AREG	All
NK	SOX4	All
NK	TNFRSF18	Strict
NK	CD83	All
NK	XCL1	All
NK	IL7R	All
NK	AL136454.1	All
NK	ENTPD1	All
NK	C15orf48	All
NK	JAML	All
NK	DDIT4	All
NK	KIT	All
NK	TSC22D3	All
NK	LINC00996	All
NK	AHI1	Strict
NK	PFKFB3	All
NK	SRGAP3	All
NK	TCF7	All
NK	TIAM1	All
NK	SELL	All
NK	LGALS3	All
NK	ITGA1	All
NK	CCR7	All
NK	IL4R	All
NK	CD7	All
NK	SMAP2	All
NK	XCL2	All
NK	RNF130	All
NK	WIPF3	All
NK	CNR2	All
NK	CD44	All
NK	SLC16A3	All
NK	FOS	All
NK	DUSP4	All
NK	TNFRSF4	All
NK	KLRC1	All
NK	CTSW	All
NK	IL2RA	All
NK	MMP25-AS1	All
NK	KIR2DL4	All
NK	SPRY1	All
NK	GNLY	All
NK	DNPH1	All
NK	RGS1	All
NK	ZFP36L2	All
NK	FKBP5	All
NK	NFKB1	All
NK	RUNX2	All
NK	CXCL8	All
NK	TNFSF4	All
NK	GOLIM4	All
NK	VIM	All
NK	GPR183	All
NK	RCBTB2	All
NK	PKIA	All
NK	KIAA0319L	All
NK	HIST1H1E	All
NK	IGFBP2	All
NK	FES	All
NK	LDLRAD4	All
NK	MAML3	All
NK	MPG	All
NK	MAFF	All
NK	SLC1A4	All
NK	P2RX5	All
NK	NSMCE1	All
NK	C19orf38	All
NK	MPZL3	All
NK	ATP8B4	All
NK	TNFRSF25	All
NK	SEPT11	All
NK	ADGRG3	All
NK	CAPG	All
NK	RALA	All
NK	AC008105.3	All
NK	CXCR6	All
NK	KDSR	All
NK	CD55	All
NK	PRCD	All
eTreg	SATB1	All
eTreg	CCR7	All
eTreg	ITM2C	All
eTreg	FKBP5	All
eTreg	FURIN	All
eTreg	MALT1	All
eTreg	MAGEH1	All
eTreg	ICA1	All
eTreg	IL7R	All
eTreg	IL1R2	All
eTreg	MAL	All
eTreg	BNIP3L	All
eTreg	MT1E	All
eTreg	SMAP2	All
eTreg	CXCL13	All
eTreg	TNFRSF4	All
eTreg	SLC27A2	All
eTreg	CD7	All
eTreg	GYPC	All
