ultracluster	Mid	AD
Mac	0.3171898388323567	0.406339816318225
LC	0.4193064562018532	0.35494817417789476
Trm	0.2342706231116359	0.007813590754564118
Mono	0.368135620807547	-0.035461178779807694
ILC + NK	0.3810341951719685	0.3615816074019691
moDC	0.21592970903970324	-0.17258513629639544
Tmm	0.6608596424978899	0.20177035586977363
CTL	0.5291432041199755	0.192895874341975
Mast	0.4656230387587497	0.2146945140225589
Treg	0.4999464376193536	0.12121725135341607
Tet	0.5775501573652257	-0.15205394708821346
Tcm	0.389379357454884	0.09384056150595865
DC	0.5293334772990249	0.34568773003814346
