ultracluster	PV	Mid	AD
Mac	1.5671839146883553	0.7668304173734197	0.4775678551823204
LC	1.0554662426760215	0.26881622044320624	0.7169428298120307
moDC	0.7681232741306342	0.3987474556298996	0.6687249845094687
Mast	0.7091953640723141	0.6385774643730807	0.733238758264267
Trm	0.7105751460175216	0.4392783405416848	0.47791509765571283
ILC + NK	0.6645677347245538	0.5216420627767981	0.6573447817782623
Mono	0.6593955830474244	0.4371479299022375	0.6113752449719996
CTL	0.650884912216669	0.5813094557151864	0.642556339519888
Treg	0.5760389631877282	0.3723071830534976	0.4565651772075427
Tmm	0.5608985732593287	0.531930879928758	0.4967786971614927
Tcm	0.5573106513451723	0.5563700898163413	0.5094919205369933
DC	0.5510435038892283	0.3461507190932032	0.47677710250108174
Tet	0.5395285181005927	0.49427220296526064	0.4374710313859112
