gene	ultracluster	PV	ResponderMid	NonresponderMid	AD	TResponderMid	TNonresponderMid
MTRNR2L8	CTL	4.451	-0.644	0.976	-1.598	1.546	-2.338
CHI3L2	CTL	4.357	3.116	4.41	2.593	2.926	4.682
USP9Y	CTL	3.904	3.688	4.193	2.371	3.652	4.326
EIF1AY	CTL	3.829	4.234	4.293	3.025	4.411	4.132
UTY	CTL	3.742	3.467	3.909	2.386	3.865	3.68
CXCL13	CTL	3.507	2.069	3.998	0.48	1.643	4.335
TSHZ2	CTL	3.366	2.413	3.302	3.134	2.341	3.503
TTTY15	CTL	3.35	3.381	3.628	2.354	3.729	3.356
DDX3Y	CTL	3.229	2.995	3.35	1.859	3.049	3.394
DKK3	CTL	2.926	1.731	2.532	2.179	1.365	2.837
SYNM	CTL	2.502	1.364	2.202	2.371	1.214	2.43
LINC00861	CTL	2.371	2.587	2.577	1.851	2.33	2.78
CDCA7	CTL	2.322	2.493	2.57	2.513	2.215	2.796
SELL	CTL	2.306	1.438	2.571	2.153	1.295	2.819
GBP4	CTL	2.213	2.122	2.85	1.826	1.951	3.077
GBP5	CTL	2.147	1.821	2.636	1.766	1.759	2.824
PLEK	CTL	2.098	1.904	2.812	1.615	1.768	3.04
TRPS1	CTL	2.091	1.221	1.63	1.518	1.119	1.787
AC243829.1	CTL	2.079	2.18	1.451	1.804	1.939	1.534
CTLA4	CTL	2.069	1.24	1.874	1.553	1.33	1.955
ENTPD1	CTL	2.027	1.353	3.127	0.798	1.106	3.431
MIR4435-2HG	CTL	1.96	1.879	2.162	1.518	1.636	2.386
BICDL1	CTL	1.927	1.579	2.075	1.978	1.281	2.341
POU3F1	CTL	1.924	1.508	1.851	1.385	1.489	1.945
RARRES3	CTL	1.918	2.195	1.923	1.327	2.145	1.897
KLRG1	CTL	1.903	1.769	1.863	1.498	1.587	2.027
TTN	CTL	1.862	0.788	2.988	2.059	0.788	3.265
ITGA1	CTL	1.833	1.858	3.434	1.124	1.911	3.659
CLIC3	CTL	1.829	1.321	1.575	0.617	1.483	1.503
LDLRAD4	CTL	1.827	1.277	2.235	1.267	1.41	2.353
KLF2	CTL	1.807	0.608	0.485	1.393	0.569	0.49
CENPF	CTL	1.785	1.884	2.746	1.917	1.658	3.004
CCR5	CTL	1.778	1.818	2.591	1.291	1.702	2.798
FCMR	CTL	1.763	1.079	1.126	1.299	0.83	1.329
HELLS	CTL	1.74	1.286	1.863	1.705	1.163	2.053
E2F3	CTL	1.725	1.83	2.269	1.363	1.764	2.409
CMC1	CTL	1.706	1.235	2.383	1.344	1.156	2.611
EOMES	CTL	1.69	1.57	2.263	1.187	1.332	2.515
PASK	CTL	1.68	0.451	1.733	2.075	0.453	1.946
PMAIP1	CTL	1.667	0.529	1.702	1.262	0.347	1.965
PYHIN1	CTL	1.628	1.728	2.272	1.312	1.564	2.479
ST8SIA1	CTL	1.621	1.511	2.221	1.547	1.503	2.37
FAM160B1	CTL	1.614	1.21	1.76	1.398	1.068	1.956
TBC1D4	CTL	1.595	1.91	1.874	1.083	1.911	1.864
TNIP3	CTL	1.559	0.594	1.826	1.209	0.568	2.043
TP53INP1	CTL	1.519	1.495	2.095	1.507	1.162	2.381
DNPH1	CTL	1.504	1.186	1.603	1.108	1.417	1.524
JUN	CTL	1.499	0.587	0.942	1.094	0.484	1.092
ITGA4	CTL	1.497	1.435	1.939	1.147	1.192	2.18
AC133644.2	CTL	1.492	0.875	1.539	1.026	1.238	1.437
SMC4	CTL	1.492	1.067	1.006	1.455	0.859	1.168
TRIM59	CTL	1.472	1.359	1.624	1.364	1.336	1.705
MTRNR2L12	CTL	1.459	-0.178	-1.33	-0.767	-0.454	-1.287
APOL3	CTL	1.43	1.769	1.56	1.419	1.53	1.726
LPIN2	CTL	1.43	1.262	1.167	1.195	0.985	1.376
LYST	CTL	1.419	1.145	2.108	1.399	0.911	2.376
RIPOR2	CTL	1.407	1.199	1.647	1.297	1.029	1.847
ITGAL	CTL	1.397	1.782	1.795	1.429	1.634	1.923
C12orf75	CTL	1.391	1.641	1.681	1.016	1.576	1.748
CCR7	CTL	1.358	0.179	1.046	1.336	0.106	1.245
GIMAP8	CTL	1.358	1.021	1.349	1.205	0.805	1.562
PDE4DIP	CTL	1.354	1.12	2.287	1.53	1.021	2.523
GZMK	CTL	1.351	0.947	1.409	0.938	0.877	1.555
MAF	CTL	1.337	1.746	1.751	0.909	1.777	1.723
DENND2D	CTL	1.328	0.707	0.989	0.948	0.568	1.15
SLC25A53	CTL	1.328	1.506	1.431	0.825	1.4	1.508
CCL4L2	CTL	1.322	-0.288	0.372	0.721	-0.524	0.621
SLC4A7	CTL	1.3	1.298	2.009	1.392	1.203	2.201
CTSC	CTL	1.299	1.281	1.584	1.322	1.31	1.635
SNX18	CTL	1.293	0.845	1.528	1.197	0.823	1.68
TNFRSF14	CTL	1.293	1.218	0.968	0.882	1.053	1.064
BICD1	CTL	1.292	0.991	1.641	1.285	0.907	1.82
LBH	CTL	1.27	1.275	1.799	0.833	1.188	1.964
ARHGAP25	CTL	1.265	1.183	1.71	1.186	1.194	1.818
CD28	CTL	1.264	1.213	1.896	1.255	1.062	2.111
CCL5	CTL	1.263	1.346	1.614	0.46	1.388	1.647
SMARCAD1	CTL	1.263	1.089	1.928	1.279	0.996	2.132
SYNE1	CTL	1.247	1.29	1.658	1.358	1.064	1.879
RABGAP1L	CTL	1.245	1.14	1.459	0.819	0.999	1.627
S1PR1	CTL	1.241	1.124	1.333	1.319	1.366	1.163
PAG1	CTL	1.237	1.14	1.989	1.2	1.018	2.206
ATP6V1A	CTL	1.223	0.91	1.541	1.143	0.678	1.786
SAMD9L	CTL	1.215	1.437	1.123	1.231	1.244	1.233
SLAMF7	CTL	1.211	1.428	2.05	1.074	1.25	2.271
CKAP2	CTL	1.205	1.374	1.953	0.954	1.34	2.096
PLCG2	CTL	1.198	-1.089	-1.236	-1.078	-1.295	-1.088
SOX4	CTL	1.198	0.224	1.213	-0.262	0.958	0.931
SLC1A4	CTL	1.195	0.614	1.706	1.54	0.53	1.931
CASP4	CTL	1.192	1.091	1.1	0.838	0.958	1.216
COTL1	CTL	1.185	0.835	1.122	1.292	0.713	1.274
YBEY	CTL	1.181	1.275	0.993	1.083	1.237	0.951
CDR2	CTL	1.18	1.109	1.458	1.151	0.962	1.633
GIMAP7	CTL	1.171	0.991	1.07	0.949	0.907	1.161
LINC00649	CTL	1.155	1.312	1.27	0.502	1.182	1.374
TRBV28	CTL	1.154	1.8	1.784	0.504	1.935	1.639
GLCCI1	CTL	1.153	0.922	1.436	1.07	0.748	1.644
TOX	CTL	1.151	1.013	1.663	0.657	0.984	1.813
PTPRJ	CTL	1.15	1.065	1.859	1.107	0.937	2.073
ACAA2	CTL	1.137	1.023	1.091	0.73	1.091	1.046
HLA-DMA	CTL	1.132	0.988	1.237	1.296	0.925	1.343
RPAP2	CTL	1.131	0.917	1.213	1.165	0.807	1.359
LYAR	CTL	1.126	0.68	1.164	0.658	0.705	1.257
APBB1IP	CTL	1.125	1.079	1.198	0.99	0.96	1.321
R3HDM2	CTL	1.121	0.918	1.241	0.768	0.926	1.312
ZEB2	CTL	1.114	0.866	1.369	1.112	0.561	1.639
MPHOSPH9	CTL	1.112	0.475	1.382	0.834	0.406	1.583
SLC35D2	CTL	1.112	0.747	0.826	0.878	0.76	0.835
TNIK	CTL	1.11	1.226	1.242	1.114	1.007	1.422
YPEL2	CTL	1.108	0.405	1.199	0.598	0.364	1.375
AC092683.1	CTL	1.102	0.589	0.037	1.758	0.37	0.13
FAM111A	CTL	1.092	1.089	1.574	0.93	0.982	1.744
NIN	CTL	1.087	0.648	1.684	1.359	0.519	1.92
TRANK1	CTL	1.082	1.195	1.704	1.12	1.032	1.907
MXD4	CTL	1.08	0.855	1.047	1.098	0.827	1.116
SRFBP1	CTL	1.077	1.068	0.964	0.741	0.965	1.033
CCL4	CTL	1.076	0.759	1.422	0.37	0.668	1.605
CD84	CTL	1.071	0.919	1.486	1.259	0.836	1.654
AIM2	CTL	1.07	0.861	0.893	0.033	0.726	1.014
CASP1	CTL	1.067	0.953	1.287	0.695	0.908	1.397
ICE2	CTL	1.067	0.543	1.003	0.942	0.574	1.086
PHACTR2	CTL	1.06	1.409	1.068	1.299	1.189	1.198
CD3G	CTL	1.058	1.298	1.514	0.873	1.326	1.546
EXOSC9	CTL	1.056	0.388	1.102	0.835	0.369	1.257
GZMA	CTL	1.054	0.935	1.102	0.827	0.831	1.223
SKA2	CTL	1.051	1.143	1.704	0.921	1.13	1.832
ICOS	CTL	1.05	0.853	1.986	0.99	0.916	2.16
GOLGA8A	CTL	1.045	0.805	0.758	1.958	0.501	0.99
DDI2	CTL	1.043	0.679	1.097	1.148	0.596	1.244
TSPAN14	CTL	1.043	0.441	0.78	1.125	0.291	0.956
CCDC167	CTL	1.042	1.167	0.623	0.49	1.063	0.58
GIMAP5	CTL	1.039	0.623	1.535	0.938	0.669	1.687
METTL8	CTL	1.036	1.153	1.171	1.068	1.04	1.273
CD81	CTL	1.023	0.786	0.62	0.987	0.745	0.614
ZC3H6	CTL	1.023	0.904	1.022	0.559	0.97	0.994
GPATCH2	CTL	1.021	0.712	0.881	1.116	0.627	0.989
TMA16	CTL	1.017	0.721	0.817	0.874	0.842	0.73
GBP2	CTL	1.016	0.803	1.137	0.733	0.788	1.225
LBR	CTL	1.013	1.012	1.373	0.787	0.867	1.549
ATF7IP	CTL	1.009	1.081	1.654	1.055	0.866	1.888
EPB41	CTL	1.009	0.888	1.347	0.775	0.776	1.517
MLLT3	CTL	1.009	1.081	1.322	0.829	0.915	1.495
PMEPA1	CTL	1.007	1.156	0.912	0.581	1.134	0.863
WWC3	CTL	1.005	0.743	1.481	1.233	0.642	1.678
STK38	CTL	0.999	1.137	1.411	0.927	0.994	1.574
CSNK1G3	CTL	0.996	0.737	1.246	1.115	0.571	1.45
SMC6	CTL	0.992	0.725	1.07	1.037	0.615	1.223
