p_val,auc,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.8722970499850947,0.9454445370469147,1,0.986,0,Tcm,RPL13
0,0.8528503595247432,0.9845684287445948,1,0.98,0,Tcm,RPS12
0,0.8500123690197077,0.8850610706965405,1,0.976,0,Tcm,RPL32
0,0.8476440671037291,0.9637733195625504,1,0.976,0,Tcm,RPS18
0,0.8453375839713981,0.9044481286738293,1,0.976,0,Tcm,RPS2
0,0.8441767244408142,0.9878282658797426,0.999,0.951,0,Tcm,RPL3
0,0.8337671431620581,0.9100881871418043,0.999,0.963,0,Tcm,RPS6
0,0.8314545319332383,0.9383772188824517,1,0.967,0,Tcm,RPL13A
0,0.8303287039369762,0.853938152781418,0.999,0.974,0,Tcm,RPS14
0,0.8294142292859812,0.8130983429545813,0.999,0.979,0,Tcm,RPL11
0,0.829299290033733,0.8912568512424919,0.998,0.968,0,Tcm,RPS3A
0,0.8277585154903163,0.8594629113722894,0.999,0.961,0,Tcm,RPL18A
0,0.8264559077254628,0.8467036280851561,0.999,0.968,0,Tcm,RPS3
0,0.8261952009994518,0.8275134055710316,0.999,0.974,0,Tcm,RPL19
0,0.8258890847223547,0.8204353571236513,0.997,0.967,0,Tcm,RPL9
0,0.8242331724521924,0.7816850526003627,0.999,0.982,0,Tcm,RPS27A
0,0.8166097685755258,0.8449492811483585,0.999,0.973,0,Tcm,RPL21
0,0.8157703638920409,0.8855190933130599,1,0.975,0,Tcm,RPL34
0,0.8134706165861577,0.6866627505820908,1,0.99,0,Tcm,EEF1A1
0,0.8127788858313384,0.8221519345852268,0.997,0.975,0,Tcm,RPL30
0,0.8113496170360994,0.8125498939337383,0.999,0.97,0,Tcm,RPLP2
0,0.8071348702126271,0.9306456916145267,1,0.982,0,Tcm,RPS27
0,0.8066532220949794,0.7372027202103295,1,0.988,0,Tcm,RPL10
0,0.8049152864420631,0.7837251158352059,0.997,0.96,0,Tcm,RPS13
0,0.8035764916442631,0.8480161155682371,0.997,0.951,0,Tcm,RPL23A
0,0.8016567483767129,0.8898837985702182,0.998,0.961,0,Tcm,RPS8
0,0.7995327253635645,0.7834701395214632,0.995,0.951,0,Tcm,RPS9
0,0.7984792895001351,0.7300507620146925,0.999,0.99,0,Tcm,TPT1
0,0.7982424499870437,0.7675283067992176,0.997,0.965,0,Tcm,RPS23
0,0.7970405133051561,0.7249254207421787,1,0.98,0,Tcm,RPS19
0,0.796813976660833,0.9007678844473359,0.99,0.884,0,Tcm,RPSA
0,0.7963402175116999,0.7850923313420974,0.996,0.956,0,Tcm,RPS25
0,0.7946644643377836,0.8297855002992671,0.996,0.946,0,Tcm,RPL27A
0,0.7929856245974081,0.8578432710303927,1,0.974,0,Tcm,RPS16
0,0.7928466893071047,0.760597272939421,0.998,0.97,0,Tcm,RPS4X
0,0.7902024675163323,0.8179234196511223,0.992,0.919,0,Tcm,RPS5
0,0.7882336164736824,0.7903125051289566,0.999,0.969,0,Tcm,RPL39
0,0.7877664150999968,0.7489342626913036,0.999,0.968,0,Tcm,RPS15A
0,0.7852005260613163,0.7554323993266916,0.994,0.948,0,Tcm,RPL29
0,0.7835449677984371,0.681087968068959,0.999,0.972,0,Tcm,RPL26
0,0.7781518996161991,0.9541559534936246,0.997,0.955,0,Tcm,RPS29
0,0.7773346588783437,0.6546089968600599,1,0.992,0,Tcm,RPLP1
0,0.7769762618525847,0.7989039460984229,0.994,0.92,0,Tcm,RPLP0
0,0.776189751408194,0.6809636635589422,0.999,0.98,0,Tcm,RPL28
0,0.7716266443985891,0.6430312582856006,1,0.991,0,Tcm,RPL41
0,0.7711737284756064,0.668230485279663,0.995,0.967,0,Tcm,RPL18
0,0.7694280483896934,0.772999203444388,0.998,0.962,0,Tcm,RPS28
0,0.7694254538200423,0.6296814794965027,0.999,0.974,0,Tcm,RPS15
0,0.7683258600676461,0.662778160998645,0.998,0.966,0,Tcm,RPL35A
0,0.7679071058474807,0.6830429044995023,0.994,0.955,0,Tcm,RPL14
0,0.7670231899849425,0.739785508370939,0.991,0.937,0,Tcm,RPS20
0,0.766135198587374,0.7883433865965368,0.981,0.886,0,Tcm,RPL10A
0,0.7629164604192393,0.74583797624011,0.984,0.915,0,Tcm,RPL22
