gene,patient,treatment,cpm,log10cpm
A2M,P1,Pre,0,0
A2M,P1,Mid,0,0
A2M,P2,Pre,0.282,0.108
A2M,P2,Mid,1.031,0.308
A2M,P3,Pre,0.499,0.176
A2M,P3,Mid,0,0
A2M,P4,Pre,0,0
A2M,P4,Mid,0.894,0.277
A2M,P5,Pre,0,0
A2M,P5,Mid,0,0
A2M,P6,Pre,0,0
A2M,P6,Mid,0,0
A2M,P7,Pre,0.486,0.172
A2M,P7,Mid,0,0
A2M,P8,Pre,0.249,0.097
A2M,P8,Mid,0.175,0.07
A2M,P9,Pre,0,0
A2M,P9,Mid,0.32,0.12
ABCC1,P1,Pre,33.236,1.534
ABCC1,P1,Mid,8.889,0.995
ABCC1,P2,Pre,28.23,1.466
ABCC1,P2,Mid,21.661,1.355
ABCC1,P3,Pre,25.432,1.422
ABCC1,P3,Mid,18.067,1.28
ABCC1,P4,Pre,19.489,1.312
ABCC1,P4,Mid,13.415,1.159
ABCC1,P5,Pre,18.611,1.292
ABCC1,P5,Mid,12.01,1.114
ABCC1,P6,Pre,15.338,1.213
ABCC1,P6,Mid,16.589,1.245
ABCC1,P7,Pre,16.527,1.244
ABCC1,P7,Mid,11.204,1.086
ABCC1,P8,Pre,17.678,1.271
ABCC1,P8,Mid,21.201,1.346
ABCC1,P9,Pre,22.247,1.366
ABCC1,P9,Mid,32.607,1.526
ABCG1,P1,Pre,21.506,1.352
ABCG1,P1,Mid,8.889,0.995
ABCG1,P2,Pre,9.88,1.037
ABCG1,P2,Mid,16.504,1.243
ABCG1,P3,Pre,15.209,1.21
ABCG1,P3,Mid,2.78,0.577
ABCG1,P4,Pre,16.028,1.231
ABCG1,P4,Mid,3.577,0.661
ABCG1,P5,Pre,18.197,1.283
ABCG1,P5,Mid,20.016,1.323
ABCG1,P6,Pre,11.729,1.105
ABCG1,P6,Mid,8.932,0.997
ABCG1,P7,Pre,10.694,1.068
ABCG1,P7,Mid,8.87,0.994
ABCG1,P8,Pre,12.2,1.121
ABCG1,P8,Mid,12.791,1.14
ABCG1,P9,Pre,19.178,1.305
ABCG1,P9,Mid,60.419,1.788
AC002480.4,P1,Pre,0,0
AC002480.4,P1,Mid,0,0
AC002480.4,P2,Pre,0,0
AC002480.4,P2,Mid,0,0
AC002480.4,P3,Pre,0,0
AC002480.4,P3,Mid,0,0
AC002480.4,P4,Pre,0,0
AC002480.4,P4,Mid,0,0
AC002480.4,P5,Pre,0,0
AC002480.4,P5,Mid,0,0
AC002480.4,P6,Pre,0,0
AC002480.4,P6,Mid,0,0
AC002480.4,P7,Pre,0,0
AC002480.4,P7,Mid,0,0
AC002480.4,P8,Pre,0,0
AC002480.4,P8,Mid,0,0
AC002480.4,P9,Pre,0,0
AC002480.4,P9,Mid,0,0
AC005224.3,P1,Pre,19.551,1.313
AC005224.3,P1,Mid,2.222,0.508
AC005224.3,P2,Pre,20.89,1.34
AC005224.3,P2,Mid,8.252,0.966
AC005224.3,P3,Pre,12.716,1.137
AC005224.3,P3,Mid,2.78,0.577
AC005224.3,P4,Pre,10.018,1.042
AC005224.3,P4,Mid,5.366,0.804
AC005224.3,P5,Pre,7.858,0.947
AC005224.3,P5,Mid,14.011,1.176
AC005224.3,P6,Pre,10.827,1.073
AC005224.3,P6,Mid,3.19,0.622
AC005224.3,P7,Pre,8.993,1
AC005224.3,P7,Mid,11.204,1.086
AC005224.3,P8,Pre,11.453,1.095
AC005224.3,P8,Mid,13.141,1.15
AC005224.3,P9,Pre,28.384,1.468
AC005224.3,P9,Mid,15.025,1.205
AC008011.2,P1,Pre,3.91,0.691
AC008011.2,P1,Mid,0,0
AC008011.2,P2,Pre,1.976,0.474
AC008011.2,P2,Mid,0,0
AC008011.2,P3,Pre,8.477,0.977
AC008011.2,P3,Mid,0,0
AC008011.2,P4,Pre,2.186,0.503
AC008011.2,P4,Mid,0,0
AC008011.2,P5,Pre,2.481,0.542
AC008011.2,P5,Mid,0,0
AC008011.2,P6,Pre,0.902,0.279
AC008011.2,P6,Mid,0,0
AC008011.2,P7,Pre,0.324,0.122
AC008011.2,P7,Mid,0,0
AC008011.2,P8,Pre,2.241,0.511
AC008011.2,P8,Mid,0.35,0.13
AC008011.2,P9,Pre,1.918,0.465
AC008011.2,P9,Mid,1.279,0.358
AC008105.3,P1,Pre,52.787,1.731
AC008105.3,P1,Mid,53.332,1.735
AC008105.3,P2,Pre,33.311,1.535
AC008105.3,P2,Mid,23.724,1.393
AC008105.3,P3,Pre,40.89,1.622
AC008105.3,P3,Mid,55.59,1.753
AC008105.3,P4,Pre,45.898,1.671
AC008105.3,P4,Mid,30.408,1.497
AC008105.3,P5,Pre,52.524,1.729
AC008105.3,P5,Mid,56.045,1.756
AC008105.3,P6,Pre,51.428,1.72
AC008105.3,P6,Mid,26.159,1.434
AC008105.3,P7,Pre,38.402,1.596
AC008105.3,P7,Mid,28.943,1.476
AC008105.3,P8,Pre,43.075,1.644
AC008105.3,P8,Mid,31.539,1.512
AC008105.3,P9,Pre,51.781,1.722
AC008105.3,P9,Mid,39.96,1.612
AC016831.5,P1,Pre,153.669,2.189
AC016831.5,P1,Mid,35.555,1.563
