gene,distance,cpm
CD3D,1,2.964937077681775
CD3D,2,4.570757845363035
CD3D,3,5.672997101098481
CD3D,4,4.455161583141668
CD3D,5,7.936709503733429
CD3D,6,1.598815597405442
CD3D,7,3.8648537925810262
CD3D,8,3.408821689650647
CD3D,9,13.27598109500292
CD3D,10,8.625597322614592
CD4,1,4.659186836357074
CD4,2,4.113682060826731
CD4,3,8.194329146031139
CD4,4,8.910323166283336
CD4,5,4.762025702240057
CD4,6,3.197631194810884
CD4,7,6.441422987635045
CD4,8,3.408821689650647
CD4,9,0
CD4,10,8.625597322614592
CD8A,1,0.84712487933765
CD8A,2,0.914151569072607
CD8A,3,1.260666022466329
CD8A,4,1.113790395785417
CD8A,5,1.5873419007466856
CD8A,6,1.598815597405442
CD8A,7,0
CD8A,8,0
CD8A,9,8.85065406333528
CD8A,10,4.312798661307296
CD8B,1,0.84712487933765
CD8B,2,0.4570757845363035
CD8B,3,0
CD8B,4,0
CD8B,5,0
CD8B,6,1.598815597405442
CD8B,7,0
CD8B,8,0
CD8B,9,0
CD8B,10,0
CXCL1,1,0
CXCL1,2,0
CXCL1,3,0
CXCL1,4,0
CXCL1,5,0
CXCL1,6,0
CXCL1,7,0
CXCL1,8,0
CXCL1,9,0
CXCL1,10,0
CXCL13,1,6.353436595032375
CXCL13,2,4.570757845363035
CXCL13,3,3.151665056165823
CXCL13,4,1.113790395785417
CXCL13,5,4.762025702240057
CXCL13,6,1.598815597405442
CXCL13,7,5.153138390108035
CXCL13,8,5.113232534475971
CXCL13,9,30.977289221673484
CXCL13,10,4.312798661307296
DEFB4A,1,171.11922562620532
DEFB4A,2,159.0623730186336
DEFB4A,3,127.32726826909926
DEFB4A,4,84.6480700796917
DEFB4A,5,90.47848834256108
DEFB4A,6,123.10880100021905
DEFB4A,7,135.26988274033593
DEFB4A,8,64.76761210336228
DEFB4A,9,97.35719469668808
DEFB4A,10,99.1943692100678
IFNG,1,0.423562439668825
IFNG,2,0.914151569072607
IFNG,3,3.781998067398987
IFNG,4,0
IFNG,5,0
IFNG,6,3.197631194810884
IFNG,7,1.2882845975270087
IFNG,8,0
IFNG,9,0
IFNG,10,0
IL13,1,0.423562439668825
IL13,2,0
IL13,3,0
IL13,4,1.113790395785417
IL13,5,0
IL13,6,0
IL13,7,0
IL13,8,0
IL13,9,0
IL13,10,0
IL17A,1,0.84712487933765
IL17A,2,0.914151569072607
IL17A,3,1.8909990336994935
IL17A,4,0
IL17A,5,1.5873419007466856
IL17A,6,0
IL17A,7,0
IL17A,8,0
IL17A,9,0
IL17A,10,0
IL17B,1,0
IL17B,2,0.4570757845363035
IL17B,3,0.6303330112331645
IL17B,4,0
IL17B,5,0
IL17B,6,0
IL17B,7,1.2882845975270087
IL17B,8,0
IL17B,9,0
IL17B,10,0
IL17C,1,0
IL17C,2,3.1995304917541243
IL17C,3,3.151665056165823
IL17C,4,1.113790395785417
IL17C,5,0
IL17C,6,1.598815597405442
IL17C,7,1.2882845975270087
IL17C,8,0
IL17C,9,0
IL17C,10,0
IL17D,1,0
IL17D,2,2.2853789226815175
IL17D,3,1.260666022466329
IL17D,4,0
IL17D,5,0
IL17D,6,0
IL17D,7,1.2882845975270087
IL17D,8,1.7044108448253237
IL17D,9,0
